gene	term	evidence
LOC100509620	GO:0006810	IEA
PPIAL4E	GO:0000413	IEA
PPIAL4E	GO:0006457	IEA
TMEM265	GO:0009607	IEA
LOC102723475	GO:0071805	IEA
A0A087WUJ7	GO:0005975	IEA
A0A087WUV0	GO:0006355	IEA
TBC1D3D	GO:0043547	IEA
A0A087WWQ2	GO:0032259	IEA
A0A087WWV3	GO:0006260	IEA
MEIKIN	GO:0007060	ISS
MEIKIN	GO:0010789	ISS
MEIKIN	GO:0016321	ISS
MEIKIN	GO:0045143	ISS
MEIKIN	GO:0051754	ISS
TBC1D3I	GO:0043547	IEA
A0A087WYN8	GO:0006595	IEA
A0A087WYN8	GO:0043086	IEA
A0A087WZ62	GO:0070475	IBA
A0A087WZ62	GO:0006432	IBA
A0A087X0B3	GO:0055114	IEA
SENP3-EIF4A1	GO:0006508	IEA
TBC1D3E	GO:0043547	IEA
A0A087X1B8	GO:0006633	IEA
CYP2D7	GO:0006805	IDA
CYP2D7	GO:0042738	IDA
CYP2D7	GO:0055114	IEA
CYP2D7	GO:0006805	IDA
CYP2D7	GO:0042738	IDA
TBC1D3K	GO:0043547	IEA
A0A088AWK7	GO:0006355	IEA
A0A096LNI8	GO:0006412	IEA
A0A096LNP0	GO:0043547	IEA
LOC100129216	GO:0042742	IEA
A0A096LNY1	GO:0006412	IEA
UQCRHL	GO:0006122	IEA
UQCRHL	GO:1902600	IEA
A0A096LP75	GO:0034314	IEA
SAA2-SAA4	GO:0006953	IEA
A0A096LPK6	GO:0006306	IEA
A0A096LPK6	GO:0050790	IEA
A0A096LPK9	GO:0007186	IEA
A0A096LPK9	GO:0050911	IEA
A0A0A0MRY4	GO:0043547	IEA
LOC93432	GO:0005975	IEA
A0A0B4J293	GO:0016567	IEA
LOC101930165	GO:0006351	IEA
LOC101930165	GO:0006355	IEA
CCL15-CCL14	GO:0006955	IEA
CCL15-CCL14	GO:0060326	IEA
LOC102724428	GO:0006468	IEA
LOC102724428	GO:0035556	IEA
hCG_1789329	GO:0008152	IEA
A0A0D9SEZ9	GO:0001731	IEA
A0A0D9SEZ9	GO:0006446	IEA
A0A0D9SFI3	GO:0006355	IEA
A0A0D9SFP9	GO:0006886	IEA
A0A0D9SFP9	GO:0016192	IEA
A0A0D9SG24	GO:0006359	IEA
LCE6A	GO:0031424	IEA
