hgnc_id	hgnc	previous	synonyms	entrez
HGNC:5	A1BG			1
HGNC:37133	A1BG-AS1	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	503538
HGNC:24086	A1CF		ACF, ASP, ACF64, ACF65, APOBEC1CF	29974
HGNC:6	A1S9T~withdrawn			
HGNC:7	A2M		FWP007, S863-7, CPAMD5	2
HGNC:27057	A2M-AS1			144571
HGNC:23336	A2ML1	CPAMD9	FLJ25179	144568
HGNC:41022	A2ML1-AS1			
HGNC:41523	A2ML1-AS2			
HGNC:8	A2MP1	A2MP		3
HGNC:10	A2MRAP~withdrawn			
HGNC:9	A2MR~withdrawn			
HGNC:30005	A3GALT2	A3GALT2P	IGBS3S	127550
HGNC:18149	A4GALT		A14GALT, Gb3S, P(k)	53947
HGNC:17968	A4GNT		alpha4GnT	51146
HGNC:1	A12M1~withdrawn			
HGNC:2	A12M2~withdrawn			
HGNC:3	A12M3~withdrawn			
HGNC:4	A12M4~withdrawn			
HGNC:13666	AAAS			8086
HGNC:12	AABT~withdrawn			
HGNC:13	AAC1~withdrawn			
HGNC:14	AAC2~withdrawn			
HGNC:21298	AACS		FLJ12389, SUR-5, ACSF1	65985
HGNC:18226	AACSP1	AACSL		729522
HGNC:13792	AACT~withdrawn			
HGNC:17	AADAC		DAC, CES5A1	13
HGNC:24427	AADACL2		MGC72001	344752
HGNC:50301	AADACL2-AS1			101928142
HGNC:32037	AADACL3		OTTHUMG00000001887	126767
HGNC:32038	AADACL4		OTTHUMG00000001889	343066
HGNC:50305	AADACP1			201651
HGNC:17929	AADAT		KATII, KAT2	51166
HGNC:16881	AAED1	C9orf21		195827
HGNC:25662	AAGAB		FLJ11506, p34	79719
HGNC:19679	AAK1		KIAA1048, DKFZp686K16132	22848
HGNC:30205	AAMDC	C11orf67	PTD015, FLJ21035, CK067	28971
HGNC:18	AAMP			14
HGNC:19	AANAT		SNAT	15
HGNC:15886	AAR2	C20orf4	bA234K24.2	25980
HGNC:33842	AARD	C8orf85	LOC441376	441376
HGNC:20	AARS			16
HGNC:21022	AARS2	AARSL	KIAA1270, bA444E17.1	57505
HGNC:28417	AARSD1		MGC2744	80755
HGNC:49894	AARSP1			
HGNC:23993	AASDH		NRPS998, LYS2, ACSF4	132949
HGNC:14235	AASDHPPT		LYS5, CGI-80, AASD-PPT	60496
HGNC:17366	AASS		LORSDH, LKRSDH	10157
HGNC:51526	AATBC			284837
HGNC:19235	AATF		DED, CHE-1, CHE1, BFR2	26574
HGNC:21	AATK		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	9625
HGNC:40053	AATK-AS1			388428
HGNC:22	AAVS1		AAV	17
HGNC:11	AA~withdrawn			
HGNC:49667	ABALON		INXS	103021294
HGNC:23	ABAT		GABAT	18
HGNC:24	ABC1~withdrawn			
HGNC:25	ABC2~withdrawn			
HGNC:26	ABC3~withdrawn			
HGNC:28	ABC7~withdrawn			
HGNC:27	ABC50~withdrawn			
HGNC:29	ABCA1	ABC1, HDLDT1	TGD	19
HGNC:32	ABCA2	ABC2		20
HGNC:33	ABCA3	ABC3	ABC-C, EST111653, LBM180	21
HGNC:34	ABCA4	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	24
HGNC:35	ABCA5		EST90625	23461
HGNC:36	ABCA6		EST155051	23460
HGNC:37	ABCA7		ABCX	10347
HGNC:38	ABCA8		KIAA0822	10351
HGNC:39	ABCA9		EST640918	10350
HGNC:39983	ABCA9-AS1			
HGNC:30	ABCA10		EST698739	10349
HGNC:31	ABCA11P	ABCA11	EST1133530, FLJ14297	79963
HGNC:14637	ABCA12	ICR2B	DKFZP434G232, LI2	26154
HGNC:14638	ABCA13		FLJ33876, FLJ33951	154664
HGNC:32972	ABCA17P			650655
HGNC:40	ABCB1	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20	5243
HGNC:11563	ABCB2~withdrawn			
HGNC:11564	ABCB3~withdrawn			
HGNC:45	ABCB4	PGY3, MDR3	MDR2, PFIC-3, GBD1	5244
HGNC:46	ABCB5		EST422562, ABCB5beta, ABCB5alpha	340273
HGNC:47	ABCB6		EST45597, umat, MTABC3	10058
HGNC:48	ABCB7	ABC7	EST140535, Atm1p, ASAT	22
HGNC:49	ABCB8		EST328128, M-ABC1, MABC1	11194
HGNC:50	ABCB9		EST122234	23457
HGNC:41	ABCB10		EST20237, M-ABC2, MTABC2	23456
HGNC:14114	ABCB10P1	ABCB10P, ABCB10P2	M-ABC2, MABC2	56476
HGNC:31128	ABCB10P2~withdrawn			
HGNC:31129	ABCB10P3			728248
HGNC:31130	ABCB10P4			100132289
HGNC:42	ABCB11	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	8647
HGNC:51	ABCC1	MRP, MRP1	GS-X	4363
HGNC:53	ABCC2	CMOAT	DJS, MRP2, cMRP	1244
HGNC:54	ABCC3		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	8714
HGNC:55	ABCC4		MRP4, EST170205, MOAT-B, MOATB	10257
HGNC:56	ABCC5		MRP5, SMRP, EST277145, MOAT-C	10057
HGNC:40055	ABCC5-AS1			
HGNC:57	ABCC6	ARA, PXE	MRP6, EST349056, MLP1, URG7	368
HGNC:33352	ABCC6P1			653190
HGNC:33353	ABCC6P2			730013
HGNC:58	ABCC7~withdrawn			
HGNC:59	ABCC8	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	6833
HGNC:60	ABCC9		SUR2, CMD1O	10060
