id	name	namespace	parents	level
GO:0000001	mitochondrion inheritance	biological_process	GO:0048308,GO:0048311	5
GO:0000002	mitochondrial genome maintenance	biological_process	GO:0007005	5
GO:0000003	reproduction	biological_process	GO:0008150	2
GO:0000011	vacuole inheritance	biological_process	GO:0007033,GO:0048308	5
GO:0000012	single strand break repair	biological_process	GO:0006281	5
GO:0000017	alpha-glucoside transport	biological_process	GO:0042946	6
GO:0000018	regulation of DNA recombination	biological_process	GO:0051052	7
GO:0000019	regulation of mitotic recombination	biological_process	GO:0000018	7
GO:0000020	obsolete negative regulation of recombination within rDNA repeats	biological_process		NA
GO:0000022	mitotic spindle elongation	biological_process	GO:0051231,GO:1903047	5
GO:0000023	maltose metabolic process	biological_process	GO:0005984	5
GO:0000024	maltose biosynthetic process	biological_process	GO:0000023,GO:0046351	6
GO:0000025	maltose catabolic process	biological_process	GO:0000023,GO:0046352	6
GO:0000027	ribosomal large subunit assembly	biological_process	GO:0022618	7
GO:0000028	ribosomal small subunit assembly	biological_process	GO:0022618	7
GO:0000032	cell wall mannoprotein biosynthetic process	biological_process	GO:0006057,GO:0031506	7
GO:0000038	very long-chain fatty acid metabolic process	biological_process	GO:0006631	6
GO:0000040	low-affinity iron ion transmembrane transport	biological_process	GO:0034755	7
GO:0000041	transition metal ion transport	biological_process	GO:0030001	7
GO:0000042	protein targeting to Golgi	biological_process	GO:0000301,GO:0006605,GO:0016482,GO:0034067,GO:0072600,GO:1902580	5
GO:0000044	obsolete ascorbate stabilization	biological_process		NA
GO:0000045	autophagosome assembly	biological_process	GO:0007033,GO:0070925	5
GO:0000046	autophagosome fusion	biological_process	GO:0048284,GO:0090174,GO:0097576,GO:1902589	5
GO:0000050	urea cycle	biological_process	GO:0019627,GO:0043604,GO:0044711,GO:1901566	5
GO:0000051	obsolete urea cycle intermediate metabolic process	biological_process		NA
GO:0000052	citrulline metabolic process	biological_process	GO:0006575,GO:1901605	5
GO:0000053	argininosuccinate metabolic process	biological_process	GO:0006575,GO:0072350,GO:1901605	5
GO:0000054	ribosomal subunit export from nucleus	biological_process	GO:0033753,GO:0071428,GO:1902580	5
GO:0000055	ribosomal large subunit export from nucleus	biological_process	GO:0000054	6
GO:0000056	ribosomal small subunit export from nucleus	biological_process	GO:0000054	6
GO:0000059	protein import into nucleus, docking	biological_process	GO:0043623	6
GO:0000060	protein import into nucleus, translocation	biological_process	GO:0006886,GO:1902582	5
GO:0000061	protein import into nucleus, substrate release	biological_process	GO:0043624	8
GO:0000066	mitochondrial ornithine transport	biological_process	GO:0006839,GO:0015822	6
GO:0000067	obsolete DNA replication and chromosome cycle	biological_process		NA
GO:0000070	mitotic sister chromatid segregation	biological_process	GO:0000819,GO:1903047	5
GO:0000072	obsolete M phase specific microtubule process	biological_process		NA
GO:0000073	spindle pole body separation	biological_process	GO:0022402	5
GO:0000075	cell cycle checkpoint	biological_process	GO:0022402	5
GO:0000076	DNA replication checkpoint	biological_process	GO:0031570	7
GO:0000077	DNA damage checkpoint	biological_process	GO:0006974,GO:0031570	6
GO:0000078	obsolete cytokinesis after mitosis checkpoint	biological_process		NA
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	biological_process	GO:0051726,GO:0071900,GO:1904029	6
GO:0000080	mitotic G1 phase	biological_process	GO:0051318,GO:0098763	5
GO:0000082	G1/S transition of mitotic cell cycle	biological_process	GO:0044772,GO:0044843	6
GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	biological_process	GO:0006357,GO:0022402,GO:1903047	5
GO:0000084	mitotic S phase	biological_process	GO:0051320,GO:0098763	5
GO:0000085	mitotic G2 phase	biological_process	GO:0051319,GO:0098763	5
GO:0000086	G2/M transition of mitotic cell cycle	biological_process	GO:0044772,GO:0044839	6
GO:0000087	mitotic M phase	biological_process	GO:0000279,GO:0098763	5
GO:0000088	mitotic prophase	biological_process	GO:0051324,GO:0098763	5
GO:0000089	mitotic metaphase	biological_process	GO:0051323,GO:0098763	5
GO:0000090	mitotic anaphase	biological_process	GO:0051322,GO:0098763	5
GO:0000091	mitotic anaphase A	biological_process	GO:0000090	6
GO:0000092	mitotic anaphase B	biological_process	GO:0000090	6
GO:0000093	mitotic telophase	biological_process	GO:0051326,GO:0098763	5
GO:0000094	obsolete septin assembly and septum formation	biological_process		NA
GO:0000096	sulfur amino acid metabolic process	biological_process	GO:0006520,GO:0006790	5
GO:0000097	sulfur amino acid biosynthetic process	biological_process	GO:0000096,GO:0008652,GO:0044272	6
GO:0000098	sulfur amino acid catabolic process	biological_process	GO:0000096,GO:0009063,GO:0044273	6
GO:0000101	sulfur amino acid transport	biological_process	GO:0006865,GO:0072348	5
GO:0000103	sulfate assimilation	biological_process	GO:0006790	5
GO:0000105	histidine biosynthetic process	biological_process	GO:0006547,GO:0018130,GO:0019438,GO:1901362,GO:1901607	6
GO:0000114	obsolete regulation of transcription involved in G1 phase of mitotic cell cycle	biological_process		NA
GO:0000115	obsolete regulation of transcription involved in S phase of mitotic cell cycle	biological_process		NA
GO:0000116	obsolete regulation of transcription involved in G2-phase of mitotic cell cycle	biological_process		NA
GO:0000117	regulation of transcription involved in G2/M transition of mitotic cell cycle	biological_process	GO:0006357,GO:0022402,GO:1903047	5
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	biological_process	GO:0006357,GO:0045892	7
GO:0000128	flocculation	biological_process	GO:0098630	4
GO:0000132	establishment of mitotic spindle orientation	biological_process	GO:0040001,GO:0051294	6
GO:0000147	actin cortical patch assembly	biological_process	GO:0022607,GO:0030866,GO:0044396	5
GO:0000154	rRNA modification	biological_process	GO:0006364,GO:0009451	6
GO:0000160	phosphorelay signal transduction system	biological_process	GO:0035556	6
GO:0000161	MAPK cascade involved in osmosensory signaling pathway	biological_process	GO:0000165	6
GO:0000162	tryptophan biosynthetic process	biological_process	GO:0006568,GO:0009073,GO:0046219,GO:1901607	6
GO:0000165	MAPK cascade	biological_process	GO:0023014,GO:0035556	5
GO:0000167	activation of MAPKKK activity involved in osmosensory signaling pathway	biological_process	GO:0000185,GO:0047484,GO:0080135	6
GO:0000168	activation of MAPKK activity involved in osmosensory signaling pathway	biological_process	GO:0000186,GO:0047484,GO:0080135	6
GO:0000169	activation of MAPK activity involved in osmosensory signaling pathway	biological_process	GO:0000187,GO:0047484,GO:0080135	6
GO:0000173	inactivation of MAPK activity involved in osmosensory signaling pathway	biological_process	GO:0000188,GO:0047484,GO:0080135	6
GO:0000174	obsolete inactivation of MAPK (mating sensu Saccharomyces)	biological_process		NA
GO:0000183	chromatin silencing at rDNA	biological_process	GO:0006342	6
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	biological_process	GO:0000956	9
GO:0000185	activation of MAPKKK activity	biological_process	GO:0032147,GO:0043408,GO:0043410,GO:0071902	6
GO:0000186	activation of MAPKK activity	biological_process	GO:0032147,GO:0043408,GO:0043410	6
GO:0000187	activation of MAPK activity	biological_process	GO:0032147,GO:0043406	6
GO:0000188	inactivation of MAPK activity	biological_process	GO:0043407	6
GO:0000189	MAPK import into nucleus	biological_process	GO:0006606	5
GO:0000190	obsolete MAPKKK cascade (pseudohyphal growth)	biological_process		NA
GO:0000191	obsolete activation of MAPKKK (pseudohyphal growth)	biological_process		NA
GO:0000192	obsolete activation of MAPKK (pseudohyphal growth)	biological_process		NA
GO:0000193	obsolete activation of MAPK (pseudohyphal growth)	biological_process		NA
GO:0000194	obsolete inactivation of MAPK (pseudohyphal growth)	biological_process		NA
GO:0000195	obsolete nuclear translocation of MAPK (pseudohyphal growth)	biological_process		NA
GO:0000196	MAPK cascade involved in cell wall organization or biogenesis	biological_process	GO:0000165	6
