gene	term	evidence
0610005C13Rik	GO:0008150	ND
0610006L08Rik	GO:0008150	ND
0610007P14Rik	GO:0006629	IEA
0610007P14Rik	GO:0006694	IEA
0610007P14Rik	GO:0008202	IEA
0610007P14Rik	GO:0016126	IEA
0610009B22Rik	GO:0008150	ND
0610009E02Rik	GO:0008150	ND
0610009L18Rik	GO:0008150	ND
0610009O20Rik	GO:0008625	ISO
0610009O20Rik	GO:0043281	ISO
0610010F05Rik	GO:0008150	ND
0610010K14Rik	GO:0008150	ND
0610010K14Rik	GO:0016568	IEA
0610011F06Rik	GO:0008150	ND
0610030E20Rik	GO:0008150	ND
0610037L13Rik	GO:0008150	ND
0610039K10Rik	GO:0008150	ND
0610040F04Rik	GO:0008150	ND
0610040J01Rik	GO:0008150	ND
1010001N08Rik	GO:0008150	ND
1110001J03Rik	GO:0008150	ND
1110002E22Rik	GO:0008150	ND
1110002J07Rik	GO:0008150	ND
1110002L01Rik	GO:0008150	ND
1110004E09Rik	GO:0048858	IBA
1110004F10Rik	GO:0008150	ND
1110008E08Rik	GO:0008150	ND
1110008F13Rik	GO:0008150	ND
1110008L16Rik	GO:0008033	IEA
1110008L16Rik	GO:0008150	ND
1110008P14Rik	GO:0008150	ND
1110012L19Rik	GO:0008150	ND
1110017D15Rik	GO:0007283	IEA
1110017D15Rik	GO:0030154	IEA
1110017D15Rik	GO:0043623	IDA
1110018N20Rik	GO:0008150	ND
1110019D14Rik	GO:0008150	ND
1110020A21Rik	GO:0008150	ND
1110025L11Rik	GO:0008150	ND
1110032A03Rik	GO:0008150	ND
1110032F04Rik	GO:0008150	ND
1110034G24Rik	GO:0008150	ND
1110036E04Rik	GO:0008150	ND
1110037F02Rik	GO:0006397	IEA
1110037F02Rik	GO:0008380	IEA
1110037F02Rik	GO:0080009	ISO
1110038B12Rik	GO:0008150	ND
1110038F14Rik	GO:0008150	ND
1110046J04Rik	GO:0008150	ND
1110051M20Rik	GO:0008150	ND
1110057P08Rik	GO:0008150	ND
1110059E24Rik	GO:0008150	ND
1110059G10Rik	GO:0008150	ND
1110064A23Rik	GO:0008150	ND
1110065P20Rik	GO:0008150	ND
1190002N15Rik	GO:0014066	ISO
1190002N15Rik	GO:0048199	IC
1190002N15Rik	GO:0060038	ISO
1190003K10Rik	GO:0008150	ND
1190005I06Rik	GO:0008150	ND
1190007I07Rik	GO:0008150	ND
1190028D05Rik	GO:0008150	ND
12aex	GO:0001843	IMP
1300002E11Rik	GO:0008150	ND
1300017J02Rik	GO:0043086	IEA
1500002C15Rik	GO:0008150	ND
1500002F19Rik	GO:0008150	ND
1500004F05Rik	GO:0008150	ND
1500009C09Rik	GO:0008150	ND
1500009L16Rik	GO:0008150	ND
1500011B03Rik	GO:0008150	ND
1500012K07Rik	GO:0008150	ND
1500015O10Rik	GO:0008054	IDA
1500015O10Rik	GO:0070314	IDA
1500015O10Rik	GO:0090398	IDA
1500017E21Rik	GO:0008150	ND
1500026H17Rik	GO:0008150	ND
1500035N22Rik	GO:0008150	ND
1520401A03Rik	GO:0008150	ND
1520401O13Rik	GO:0008150	ND
1600002H07Rik	GO:0008150	ND
1600002K03Rik	GO:0008150	ND
1600012H06Rik	GO:0006915	IEA
