EntrezGene ID	Associated Gene Name
	mt-Tf
	mt-Rnr1
	mt-Tv
	mt-Rnr2
	mt-Tl1
17716	mt-Nd1
	mt-Ti
	mt-Tq
	mt-Tm
17717	mt-Nd2
	mt-Tw
	mt-Ta
	mt-Tn
	mt-Tc
	mt-Ty
17708	mt-Co1
	mt-Ts1
	mt-Td
17709	mt-Co2
	mt-Tk
17706	mt-Atp8
17705	mt-Atp6
17710	mt-Co3
	mt-Tg
17718	mt-Nd3
	mt-Tr
17720	mt-Nd4l
17719	mt-Nd4
	mt-Th
	mt-Ts2
	mt-Tl2
17721	mt-Nd5
17722	mt-Nd6
	mt-Te
17711	mt-Cytb
	mt-Tt
	mt-Tp
	Vmn1r-ps151
	Gm37647
81016	Vmn1r62
30942	Hnf4g
	Gm28939
	Gm37059
	Gm15274
	Gm29552
	Vmn1r-ps69
	4930486I03Rik
	Gm16204
78926	Gas2l1
	Gm14470
	Gm2092
73090	2900092C05Rik
	Gm17119
15160	Serpind1
93882	Pcdhb11
	Gm21715
	Gm37199
	Gm14503
24068	Sra1
225372	Sra1
71910	Ppapdc1b
	Gm3611
	Gm20871
100043614	Vmn1r137
13419	Dnase1
	Rpsa-ps4
100862025	Gm21409
102635480	Gm21409
	Gm7071
	Gm5139
268395	Mpg
	Gm13325
	Pdxk-ps
	Gm14592
	Btnl7-ps
547431	Btnl2
227058	Dnah7b
71909	Haus5
244484	Wdr17
	Gm21614
236785	Olfr1321
68977	Haghl
29861	Dpf1
	Mospd4
104362	Meig1
	Gm28155
171257	Vmn1r195
100039467	Gm10487
71722	Cic
	4933411O13Rik
	Gm21971
	Gm20649
547154	Gm14501
	Vmn1r-ps152
	Crs-ps
	Gm13210
	Gm37461
	Gm28255
	Gm15366
	Gm28952
	Gm12013
	Gm5843
	Gm28873
	Gm12583
	Gm17421
	Gm19214
	Gm14480
	Gm37548
	2410018L13Rik
69386	Hist1h4h
102641229	Hist1h4h
	Ighv1-27
	Gm18294
100859931	Gm20604
	Gm12087
	Gm28977
	Gm28869
	Gm37843
	Gm21861
	Gm12760
	Gm28154
	Gm12088
	Mir124-2hg
387586	Ssxb5
	AK157302
	Gm37209
	Gm7270
	Gm5652
	Gm12779
226304	Npbwr1
	Gm21489
	Rpl19-ps11
22759	Zfp97
	Gm11354
	1700010K23Rik
16160	Il12b
	Gm13388
	Gm4804
	Gm29173
	Gm14600
	RP24-300N16.2
	Gm5925
	Gm29043
	Gm37044
	Gm29220
328059	Slc7a15
171278	Vmn1r197
217682	Plekhd1
94227	Pi15
	Gm28898
	Gm20574
	Gm2288
	Gm8498
	Gm37965
93873	Pcdhb2
	Vmn1r-ps78
	Gm15452
	Gm14654
	Gm6802
94191	Adarb2
67084	Ceacam14
	Gm38029
	Rpl12-ps2
67474	Snap29
	Gm28764
	Gm29582
	RP24-364D22.2
22526	Gm4836
	Gm37629
50760	Fbxo17
	Gm32496
100312476	Vmn1r238
72129	Pex13
234344	Naf1
	Gm37020
257996	Olfr884
210940	4931408C20Rik
66931	1700010I14Rik
	Gm6712
	Gm4725
	Gm5507
	Gm28297
	Gm21858
20451	St8sia3
	Gm42468
	Gm5073
	Gm12021
	Smt3h2-ps
	Gm37875
	Gm42944
100038417	Spink13
	Gm12091
73754	Thap1
	Gm16146
	Gm21856
	Gm5523
449000	Zfp960
	Gm11295
	Gm21755
	Gm16205
384695	Vmn1r123
217837	Itpk1
12939	Pcdha7
68318	Aph1c
	Gm29249
	Gm37167
	Gm12660
	Gm18033
100040563	Dynlt1c
434113	Vmn2r44
81017	Vmn1r63
100039499	Vmn1r63
	2810032G03Rik
66070	Cwc15
	Gm33051
	Gm21832
	Gm38249
71999	Fbxo22
66381	Rnf113a2
75352	4930550L24Rik
	Gm7094
19335	Rab23
	Gm28573
	Gm16114
15511	Hspa1b
69129	Pex11g
	BC002059
17870	Mycs
	Rps27a-ps2
	Gm13211
	Gm7665
	Rps2-ps2
93872	Pcdhb1
	Gm15725
	Gm28984
239857	Cadm2
244431	Sgcz
	Gm37576
110187	Scgb2b26
	Fthl17-ps1
	Gm17934
54651	Usp27x
268890	Lsamp
170776	Cd209c
	Gm28983
	Gm6462
241035	Pkhd1
13434	Trdmt1
	Gm14864
	Gm2087
	Gm43206
	CAAA01093158.1
	Gm29137
93879	Pcdhb8
210135	Zfp180
102643195	Zfp180
	Gm37488
100043051	Vmn1r149
	Gm6162
74335	Xrcc3
	Rps12-ps24
	Gm37589
16769	Dsg4
	Gm14366
	Gm37640
	Gm5525
	Gm5682
	1700083H02Rik
	Gm11364
100043868	Scgb1b30
	Gm12237
	1700125G22Rik
	C430049B03Rik
108072	Grm6
	Gm40
59058	Bhlhe22
30959	Ddx25
210962	Gm597
246081	Defb11
	RP23-174D7.3
	Gm12166
