EntrezGene ID	Affy HTA-2_0 probeset
4535	TC01004109.hg
4535	ADDON000548.hg
4535	TC0M000003.hg
4535	ADDON001198.hg
4536	TC01004109.hg
4536	ADDON000548.hg
4536	ADDON001198.hg
4512	TC01000013.hg
4512	TC0M000021.hg
4512	TC0M000004.hg
4512	TC01004110.hg
4513	TC0M000005.hg
4513	TC0M000022.hg
4513	TC01000013.hg
4513	TC0M000021.hg
4509	TC0M000005.hg
4509	TC0M000022.hg
4509	TC01000013.hg
4508	TC0M000005.hg
4508	TC0M000022.hg
4508	TC01000013.hg
4514	TC0M000022.hg
4514	TC0M000006.hg
4537	TC0M000006.hg
4539	TC0M000007.hg
4538	TC0M000008.hg
4538	TC0M000007.hg
4538	TC0M000024.hg
4538	TC0M000023.hg
4538	TC08001295.hg
4540	TC0M000008.hg
4540	TC0M000024.hg
4540	TC08001295.hg
4540	TC0M000009.hg
4541	
4519	TC0M000011.hg
4519	TC0M000010.hg
4519	TC0M000026.hg
4519	TC0M000025.hg
4158	TC18000851.hg
4158	TC18000382.hg
4158	
117159	TC12001577.hg
3112	
7466	TC04000068.hg
7466	
653643	TC15000692.hg
653643	TC15001638.hg
653643	TC15000693.hg
653643	TC15000661.hg
51646	TC02003138.hg
51646	TC02000197.hg
51646	
55845	TC03000053.hg
9074	TC16000797.hg
9074	ADDON002816.hg
9074	
8988	TC05000225.hg
9073	TC21000363.hg
390162	TC11001777.hg
723809	TC07001726.hg
723809	TC07003096.hg
874	TC21000152.hg
23440	TC05001509.hg
23440	
197350	
197350	TC16000104.hg
197350	TC06000298.hg
197350	TC16000103.hg
197350	TC06001457.hg
100874047	
100874047	TC04002225.hg
100505625	TC05002840.hg
100505625	TC05001139.hg
100505625	
83658	
83658	TC20000242.hg
1050	TC19001396.hg
1050	TC19002442.hg
101927007	TC04001505.hg
101927007	TC04002695.hg
64208	TC06001977.hg
64208	TC06003783.hg
40	TC17001355.hg
40	
337972	TC21000376.hg
337972	ADDON002777.hg
84281	
7189	TC11003120.hg
7189	TC11001560.hg
7189	
245938	TC20000001.hg
10489	
10489	TC01002618.hg
56975	TC07000004.hg
56975	
51200	TC07002586.hg
51200	TC07000810.hg
51200	
23191	
222255	
84674	TC05000186.hg
84674	
90019	
90019	TC11000044.hg
10598	TC14000491.hg
10598	
83861	TC06002269.hg
83861	
100130417	TC01002077.hg
100130417	TC01005201.hg
388536	TC19001472.hg
388536	
94104	
643866	TC14000977.hg
3809	
285231	
285231	TC03000279.hg
100507564	TC01000652.hg
100507564	TC01004386.hg
643707	TC15000829.hg
643707	TC15002334.hg
643707	TC15000808.hg
643707	TC15002666.hg
643707	TC15001738.hg
643707	TC15002663.hg
643707	TC15001744.hg
643707	TC15000787.hg
643707	TC15000828.hg
643707	TC15002343.hg
643707	TC15001750.hg
643707	TC15001782.hg
10816	TC20000880.hg
5281	TC02001816.hg
5281	
27152	
27152	TC04000641.hg
102723996	
102723996	TC21000516.hg
51398	TC19001203.hg
51398	
2252	TC15000386.hg
2252	TC09001964.hg
2252	
285761	
285761	TC06000931.hg
81623	TC20000002.hg
7428	TC03002213.hg
7428	TC03000055.hg
7428	
4099	
4099	TC19002610.hg
4099	TC19002099.hg
79823	
105373876	TC02002762.hg
105373876	TC02004810.hg
158219	TC09000922.hg
158219	TC09002412.hg
158219	
124923	
22835	
22835	TC19001486.hg
653641	TC15000692.hg
653641	TC15001638.hg
653641	TC15000693.hg
653641	TC15000661.hg
152687	
729597	TC07000662.hg
729597	TC07001699.hg
729597	ADDON000955.hg
729597	TC07000664.hg
64412	TC20000154.hg
64412	
6015	
713	
713	TC01000287.hg
3133	
135941	TC07000951.hg
135941	ADDON002604.hg
135941	TC07000950.hg
22856	TC15002005.hg
22856	
140850	TC20000003.hg
54495	TC18000565.hg
54495	
100507173	
100507173	TC06002663.hg
100507173	TC06000260.hg
100288428	
100288428	TC03003421.hg
100288428	TC03003422.hg
101927394	
101927394	TC03003421.hg
101927394	TC03003422.hg
56245	
344595	
3577	TC02002767.hg
3577	TC02003832.hg
58530	TC06002716.hg
83890	TC05001606.hg
83890	
400684	TC19001387.hg
400684	TC19002440.hg
51209	
80010	TC09000384.hg
101927132	
114791	
100506428	TC21000952.hg
100506428	TC21000953.hg
100506428	TC21000430.hg
100506428	
79645	TC08002320.hg
79645	
79645	TC08001198.hg
153643	TC05000456.hg
153643	
55168	TC06001755.hg
100507534	TC16001877.hg
100507534	TC16001092.hg
5652	TC16001050.hg
5652	
4588	
56902	TC02000395.hg
56902	
6749	TC11001788.hg
6749	TC11001789.hg
6749	
9678	TC07002148.hg
9678	
168850	
168850	TC07001835.hg
136332	TC07000831.hg
136332	
92304	TC05002147.hg
83755	TC17001490.hg
64788	
105274304	TC17002376.hg
23001	TC04001355.hg
23001	
3812	
154442	TC06002960.hg
154442	TC06000841.hg
10980	
10980	TC07000609.hg
80184	
80184	TC12001791.hg
491	TC03001160.hg
491	
81871	TC17001491.hg
81871	TC17002625.hg
101928891	TC22000075.hg
101928891	TC22000983.hg
100507629	
100507629	TC20001402.hg
100507629	TC20000596.hg
4116	TC01002668.hg
4116	
10112	
10112	TC05000697.hg
1399	TC22000074.hg
