EntrezGene ID	Agilent WholeGenome 4x44k v1 probe
4535	A_24_P182122
4535	A_23_P331028
4535	A_23_P431853
4536	A_23_P431853
4512	A_23_P402751
4512	A_23_P301925
4513	A_23_P402751
4513	A_23_P337726
4509	A_24_P350196
4509	A_24_P350200
4509	A_23_P337726
4508	A_24_P350196
4508	A_24_P350200
4508	A_23_P337726
4514	A_23_P360213
4514	A_24_P350196
4514	A_24_P350200
4514	A_23_P360209
4537	A_23_P360213
4537	A_23_P360209
4539	A_23_P360213
4539	A_23_P315252
4538	A_23_P315252
4540	A_23_P406928
4541	A_23_P317056
4519	A_24_P557534
4158	A_23_P38649
117159	A_23_P76218
3112	
7466	A_23_P121499
7466	
653643	A_23_P106371
51646	A_23_P108835
51646	
55845	A_23_P420361
9074	A_23_P37942
9074	
8988	A_23_P92730
9073	A_23_P427014
390162	
723809	A_32_P128741
723809	
874	A_23_P40453
23440	A_23_P84230
23440	
197350	
100874047	
100505625	
83658	A_24_P143440
83658	A_23_P302028
1050	A_24_P224727
1050	A_23_P375494
1050	A_24_P216165
101927007	
64208	A_23_P358597
40	A_32_P159612
40	
337972	
84281	
84281	A_23_P17130
84281	A_23_P210060
7189	A_23_P75921
245938	A_23_P320846
10489	
56975	A_23_P250122
56975	
51200	A_24_P218151
51200	A_23_P19754
51200	
23191	
222255	A_24_P6790
222255	A_32_P179740
222255	
222255	A_23_P356109
84674	A_23_P41854
84674	
90019	
90019	A_23_P36187
10598	A_23_P117599
10598	
83861	A_32_P181061
83861	A_32_P85578
83861	A_23_P59397
100130417	A_24_P940999
100130417	
388536	A_24_P919279
388536	
94104	
643866	A_23_P3159
3809	
285231	
100507564	
643707	A_24_P153880
643707	A_32_P231086
643707	A_23_P358195
643707	A_24_P41079
643707	
643707	A_32_P169491
10816	
5281	A_23_P131653
5281	
27152	
27152	A_32_P36582
27152	A_32_P118372
27152	A_32_P159320
102723996	A_23_P317667
102723996	A_23_P6272
51398	A_24_P108442
51398	
2252	A_32_P196021
2252	A_32_P196029
2252	A_24_P99244
2252	
285761	
285761	A_23_P258234
285761	A_24_P354900
81623	A_23_P6041
7428	A_24_P134942
7428	A_23_P132606
7428	A_23_P132611
4099	
4099	A_24_P279704
79823	
79823	A_24_P926285
79823	A_23_P153941
105373876	A_24_P59688
158219	A_23_P390097
158219	A_32_P58201
158219	
124923	A_23_P415633
124923	
22835	
22835	A_23_P119732
22835	A_23_P119735
22835	A_32_P202273
653641	A_23_P106371
152687	A_23_P155939
152687	
729597	A_24_P161261
729597	A_24_P178396
64412	A_24_P156288
64412	A_23_P433188
64412	
6015	
713	A_23_P137366
3133	
135941	A_23_P59783
135941	
22856	A_23_P37484
22856	
140850	A_23_P385843
54495	A_24_P417281
54495	A_23_P312224
54495	
100507173	
100288428	
101927394	
56245	
344595	A_32_P119744
344595	
3577	A_23_P67932
58530	
83890	
83890	A_23_P7744
400684	A_24_P59569
51209	A_23_P406448
51209	A_24_P126139
80010	
80010	A_23_P112341
101927132	
114791	
100506428	A_32_P122925
100506428	A_32_P41106
100506428	
79645	
79645	A_24_P415090
79645	A_23_P146294
153643	A_23_P360354
153643	
55168	A_23_P122387
100507534	
5652	A_24_P150803
5652	
4588	
56902	A_24_P336853
56902	A_23_P102183
56902	
6749	A_23_P36076
6749	
9678	A_23_P134384
9678	A_24_P21056
9678	
168850	
168850	A_23_P419192
136332	
92304	
83755	A_23_P15798
64788	A_24_P930963
64788	A_24_P367812
105274304	A_32_P204691
23001	A_32_P10396
23001	A_23_P345820
23001	
23001	A_24_P83379
3812	
154442	A_24_P701030
154442	
10980	A_23_P8432
10980	
80184	A_24_P51067
80184	A_23_P36865
80184	A_23_P25463
80184	
491	A_23_P18152
491	
81871	A_23_P417100
101928891	A_32_P73413
100507629	
100507629	A_32_P228612
4116	A_23_P200216
4116	
10112	
1399	A_23_P40535
1399	A_24_P935009
1399	
26228	A_23_P7185
26228	
22880	A_32_P172114
22880	A_23_P155027
22880	
27293	
27293	A_23_P160881
643803	
85289	A_23_P27197
100130148	
100507246	
241	A_23_P2793
241	A_24_P347378
241	
27145	A_24_P84668
27145	A_23_P410233
27145	A_32_P45229
27145	A_23_P436369
8705	
101929602	
93035	A_23_P392486
93035	
6358	
100874097	
158798	
100128505	
81392	
154822	
154822	A_32_P200303
84233	A_23_P13524
7100	A_23_P85903
7100	
3115	
1635	A_24_P337334
1635	
51233	A_24_P91701
79669	
79669	A_24_P294343
79669	A_23_P58009
340526	
22883	A_24_P191067
22883	
101927120	
275	A_24_P174503
275	A_23_P257164
275	
101929066	
8170	A_23_P27353
8170	A_24_P136471
390144	
114905	A_23_P167237
114905	A_32_P190769
114905	
245927	
55773	
55773	A_23_P212728
5020	A_24_P382579
100129543	A_32_P194004
100129543	A_32_P181513
122011	A_24_P338788
55344	A_23_P61180
55344	
55344	A_23_P72583
200634	
4125	
100874253	
29890	A_24_P945181
29890	A_23_P121405
84255	A_23_P158449
84255	A_24_P317604
84255	A_23_P95130
84255	
55585	A_23_P97423
55585	
5903	A_24_P350890
5903	A_23_P131664
5903	A_32_P89371
5903	
6348	
503639	
503639	A_24_P788227
503639	A_24_P901856
503639	A_24_P497235
101928820	
4609	A_24_P38363
4609	A_24_P178011
4609	A_23_P215956
22928	A_23_P146798
101929210	
100131608	
102465255	
90332	A_24_P399454
90332	A_23_P38860
169714	A_32_P206401
169714	A_24_P263682
100616430	
100500873	
2936	A_32_P31618
2936	A_23_P146084
2936	
574473	
83690	A_23_P59960
83690	
197322	
197322	A_32_P218332
197322	A_24_P239309
9895	A_23_P394216
9895	A_32_P355396
9895	
7710	A_24_P76300
7710	A_24_P341517
5104	
5104	A_23_P205355
5104	A_24_P321766
57657	A_23_P34827
57657	
102465495	
100847049	
64285	A_23_P163682
64285	
406938	
441294	A_23_P402952
441294	A_24_P67280
100616189	
100033799	
100124536	
100616176	
102465667	
79165	
100113379	
677838	
100130017	
1143	A_23_P332789
1143	
100616304	
102465537	
93233	
100302172	
100302237	
8930	A_23_P92154
8930	
2770	
2770	A_23_P122976
442894	
407008	A_32_P139163
2766	A_24_P277657
100847030	
101929413	
100313772	
101929460	
1258	A_23_P37718
1258	
407000	
102464834	
406945	
103504727	
102465881	
100302191	
9122	A_23_P97339
9122	
2119	A_23_P9836
2119	A_32_P30649
2119	
407043	
154214	A_23_P353005
154214	A_32_P164203
154214	
677833	
102466866	
100422905	
100302201	
56126	A_23_P7397
10471	
10471	A_32_P175462
767594	
102466197	
100873998	
102465908	
102466812	
100124534	
100422879	
692210	
100033436	
6085	
100847026	A_23_P432077
102465476	
100422888	
100302193	
100616125	
768216	
406993	
653282	A_24_P332857
100616490	
102465500	
100422971	
100847084	
84823	
84823	A_23_P56316
84823	A_23_P67725
100873857	A_32_P23333
767606	
693172	
100422998	
100423034	
102465501	
103504729	
100847007	
112724	
79143	
26801	
100616236	
100847093	
100033444	
6880	
102157402	
139189	
80231	A_23_P62227
26784	A_24_P919460
102465500	A_32_P185149
102465500	A_32_P114348
102465500	A_23_P8095
3224	A_24_P124558
3224	A_23_P398476
102466719	
100500870	
100422886	
103504733	
574497	
692233	
100422979	
102466985	
693182	
574463	
100008587	
100500814	
767592	
406916	
5698	
128866	A_23_P28969
128866	A_23_P301732
51206	
100616218	
574461	
54893	
100616182	
102466727	
869	A_24_P313431
869	
100500859	
26811	
4599	
4599	A_23_P17663
100616230	
26812	
692149	
100422983	
102465254	
100422944	
768212	
100616450	
100616225	
100616500	
27316	A_23_P96420
27316	
100422965	
693155	
100616403	
677844	A_24_P102456
102465875	
677835	
677808	
26080	
100846991	
55655	
677805	
100616186	
100847019	
26783	A_23_P358240
406941	
100422956	
267010	
102466734	
100616378	A_24_P259819
29995	A_23_P6771
29995	A_23_P166779
29995	A_32_P45297
29995	
101927459	
100126301	
442892	
10915	
10915	A_23_P133365
407016	
26785	
677799	
2339	
2339	A_23_P24926
2339	A_24_P830025
9437	
100500855	
8225	A_23_P113523
8225	A_24_P101879
100616404	
100126306	
693154	
102466720	
100126342	
10068	A_24_P278602
10068	A_23_P203629
26505	A_23_P113405
26505	
406998	
693228	
693226	
407011	
100616164	
692206	
100616132	
677820	
1979	A_23_P115922
1979	A_24_P115621
1979	A_24_P913374
1979	A_24_P4387
1979	A_24_P206603
100302178	
100616498	
7203	A_23_P160631
7203	
406981	
26824	
103695436	
406944	
105374580	
1616	
10004	A_23_P52668
10004	
100302196	
100616398	
100616276	
203611	A_32_P401091
79576	A_23_P62276
79576	
100423031	
100126329	
100126352	
103504732	
100126356	
100616495	
100500801	
100616178	
102466198	
100616228	
2979	
692086	
170689	
677776	
102465252	
1353	A_24_P404204
1353	A_23_P152666
1353	A_24_P73943
1353	
100124540	
100422889	
102465511	A_23_P112162
102464831	
677834	
100422892	
677794	
102465539	
102466192	
102466162	
102465533	
102466731	
100423006	
116512	A_23_P127352
338428	
100500852	
102465463	
100616300	
102466733	
51112	
51112	A_23_P347128
100616331	
100302168	
100616140	
100500865	
100616264	
101060684	
101060684	A_23_P359430
101060684	A_23_P103454
101060684	A_32_P27020
101060684	A_32_P149492
100500833	
115123	A_24_P555473
115123	A_23_P321511
115123	
8711	A_23_P107064
8711	
677763	
103504736	
653073	
653720	
728498	
105378732	
102465668	A_23_P251593
102465668	A_32_P62008
100616431	
100616435	
25940	A_24_P119002
25940	A_23_P313728
25940	
100616246	
100616457	
100422952	
374907	A_23_P101380
102465257	
378706	
100616128	
100616192	
344022	
102465437	
100616341	
100422896	
79613	
79613	A_24_P256579
8227	A_23_P342668
8227	A_24_P16856
100616177	
101410545	
51725	A_24_P280684
51725	A_23_P121013
100506013	
677817	
128218	A_23_P115022
128218	
100847085	
9655	A_24_P328492
9655	A_23_P5813
100500839	
102466972	
245939	
101929261	
102466190	
26519	A_23_P64343
100126330	
144486	A_32_P209148
56658	
202658	
693191	
353511	A_32_P215170
353511	A_24_P936496
100422823	
442902	
100616333	
3803	
102466874	
100500811	
102465492	
100500821	
56662	
100033443	
100422830	
6218	
3447	A_24_P403459
677797	
677837	
80737	
100847075	
337976	
56979	
56979	A_24_P86246
56979	A_23_P7612
389362	
100500835	
100126319	
8449	
729665	
677825	
100313842	
693233	
102465525	
140881	A_23_P102694
56888	
56888	A_24_P191357
56888	A_23_P131476
407002	
4888	A_24_P411573
440757	
100169758	
129790	
129790	A_23_P31218
8220	A_23_P102973
8220	
100423030	
100422924	
406982	
100313829	
199713	
5581	
5581	A_23_P348194
5581	A_23_P250564
26255	A_23_P60016
100423029	
102465993	
102466251	
4758	
402778	A_23_P75362
402778	
1238	
1238	A_23_P91954
340168	A_32_P233950
100500802	
100616469	
102465246	
445347	
5304	A_23_P8702
730013	
595100	
100500916	
100533105	
101929478	
115795	
115795	A_23_P318989
692091	
100500803	
100616417	
26832	
1263	
100616373	
406962	
93474	A_23_P74981
677810	A_24_P936252
677810	A_24_P902052
6138	A_23_P253200
6138	
6138	A_24_P538567
100422866	
54780	A_23_P75204
54780	
100033441	
201229	A_32_P231941
201229	A_23_P392126
201229	
253018	
100500840	
407018	A_32_P444104
102465446	
143872	A_23_P161706
143872	A_23_P150325
143872	
255403	A_23_P124438
100302265	
26797	
100033816	
102465256	
100422919	
6917	A_23_P132444
6917	A_24_P126651
6917	
100874002	
259296	
100500864	
126014	
10321	A_23_P419760
10321	
100422874	
102466745	
10466	A_23_P134614
10466	
100616480	
100033435	
3263	
102465248	
101928287	
84692	A_23_P109964
101927143	
100033414	
84443	A_32_P129669
84443	
84616	A_23_P38603
677818	
8754	
102465472	
27120	
100313938	
654322	A_23_P58538
100302226	A_23_P101342
728072	A_32_P207124
728072	A_24_P332857
133060	A_23_P306307
574469	
340390	A_24_P282363
340390	A_24_P15856
340390	
100616382	
26716	
338755	
101928539	
100616188	
100422989	
57674	A_23_P327140
57674	A_23_P95172
57674	
100126320	
102465480	A_23_P153510
100616118	
23120	A_23_P311901
23120	
23120	A_24_P403016
100126336	
79166	
8822	A_23_P429363
8822	
284415	
100313838	
5644	
6029	
767599	
102465449	
9972	A_23_P122254
100616149	
100500886	
51156	
26869	
102466657	
94033	A_23_P367596
94033	A_32_P160896
56005	
3797	A_23_P303523
3797	A_23_P120325
3797	
7052	A_24_P562837
7052	A_32_P86763
7052	A_24_P923251
7052	
619570	
26152	A_24_P318939
26152	A_23_P154758
26152	
100422957	
100422959	
100422844	
148206	A_23_P50834
148206	A_23_P50825
148206	
100500809	
100500820	
101929297	
102466880	
100616203	
29844	
100616441	
9907	A_23_P134637
9907	A_32_P441305
9907	
494335	
100526767	
359	A_24_P172685
359	A_23_P204721
65243	A_23_P160200
401093	
158833	
158833	A_32_P234518
100126340	
165631	
165631	A_23_P378555
414196	
57189	
79690	A_23_P31240
79690	
340205	A_24_P280660
340205	A_23_P156550
101928661	
6928	A_23_P409287
6928	A_24_P330822
6928	
6928	A_23_P207557
677767	
26831	
693144	
677778	A_32_P24489
767593	
1136	
1136	A_23_P253911
100616339	
102465861	
100302190	
100313841	
441864	
101927694	
1351	A_23_P52639
353513	A_23_P11390
100505915	A_32_P230529
100505915	A_24_P477549
100505915	A_24_P350708
101928682	
101928682	A_32_P101884
101928682	A_24_P618476
692209	
677814	
100847088	
105374896	
149086	
100616383	
100616165	
196500	A_24_P248185
196500	
64112	A_23_P205389
101340251	
100847040	
51594	A_23_P90752
51594	
90025	A_24_P626931
90025	A_23_P365327
90025	
594838	A_23_P82128
619564	
9656	
100313771	
100423025	A_24_P664995
3106	A_23_P125107
3106	A_24_P113674
3106	
767611	
9730	A_23_P212595
9730	
102465944	
100423016	
100616347	
389831	A_24_P541576
102723360	A_24_P541576
102724219	A_24_P541576
102724441	A_24_P541576
102724843	A_24_P541576
102724951	A_24_P541576
574460	
692085	
102465490	
102465536	
100616298	
5817	A_23_P141894
5817	A_32_P72110
5817	A_24_P65616
5817	
390245	
100302148	
100302126	
103504738	
442914	
407044	
100847042	
25853	A_23_P255257
25853	
100313914	
389434	A_32_P110472
389434	
100313895	
4012	A_24_P237559
4012	A_32_P69475
4012	A_24_P132019
4012	A_23_P144677
4012	A_23_P156061
4012	
9698	A_23_P170820
9698	A_23_P10815
9698	A_24_P171345
9698	
101928708	
100422926	
3987	
3987	A_23_P365685
100288695	
100288695	A_23_P365685
100616255	
