EntrezGene ID	CCDS ID
4535	
4536	
4512	
4513	
4509	
4508	
4514	
4537	
4539	
4538	
4540	
4541	
4519	
4158	CCDS11869
4158	
117159	CCDS8884
117159	
117159	CCDS73478
3112	
7466	CCDS3386
7466	
653643	CCDS45308
653643	
51646	CCDS1771
51646	
55845	CCDS54553
9074	CCDS10488
9074	
8988	CCDS3961
9073	CCDS13587
390162	CCDS31531
723809	
874	CCDS13642
23440	CCDS4039
23440	
197350	
100874047	
100505625	
83658	CCDS13235
83658	
1050	CCDS54243
101927007	
64208	CCDS5052
64208	
40	CCDS11276
40	CCDS42296
40	
337972	CCDS13597
84281	
84281	CCDS42792
7189	CCDS7901
7189	
245938	
245938	CCDS12989
10489	
10489	CCDS533
56975	CCDS47522
56975	
51200	CCDS5818
51200	
51200	CCDS55163
23191	
222255	CCDS47682
222255	CCDS47683
222255	
222255	CCDS34727
84674	CCDS3935
84674	
90019	
90019	CCDS7726
10598	
10598	CCDS9863
83861	
83861	CCDS5260
100130417	
388536	CCDS12496
388536	
94104	
643866	CCDS32057
643866	
3809	
285231	CCDS2764
285231	
285231	CCDS54577
285231	CCDS54578
100507564	
643707	CCDS73774
643707	
10816	CCDS46608
5281	CCDS1827
5281	
5281	CCDS1828
27152	
27152	CCDS34061
102723996	
51398	CCDS12274
51398	
2252	CCDS10131
2252	
285761	
285761	CCDS34522
81623	CCDS12990
81623	
7428	CCDS2597
7428	CCDS2598
7428	
4099	
4099	CCDS12455
4099	CCDS12456
4099	CCDS56090
79823	
79823	CCDS1820
105373876	
158219	CCDS6477
158219	
158219	CCDS55294
158219	CCDS55296
158219	CCDS55295
124923	
22835	
22835	CCDS33005
653641	CCDS58388
152687	CCDS75075
152687	CCDS75077
152687	CCDS75076
152687	
729597	CCDS78265
64412	CCDS13151
64412	
6015	
713	
713	CCDS228
3133	
135941	CCDS43672
135941	
22856	CCDS10390
22856	
140850	CCDS12991
54495	CCDS32840
54495	
100507173	
100288428	
101927394	
56245	
344595	
3577	CCDS2409
58530	CCDS34404
58530	
83890	
83890	CCDS4076
400684	
51209	CCDS14515
80010	
80010	CCDS6669
101927132	
114791	
100506428	
79645	
79645	CCDS6145
79645	CCDS47853
153643	CCDS43341
153643	
55168	CCDS4906
55168	CCDS55006
55168	
100507534	
5652	CCDS45469
5652	
4588	
56902	CCDS1885
56902	
6749	CCDS7952
6749	
9678	
9678	CCDS47542
168850	
168850	CCDS5795
136332	CCDS5830
136332	
92304	CCDS4456
92304	
83755	CCDS32649
64788	
105274304	
23001	CCDS3609
23001	
3812	
154442	
10980	CCDS5682
10980	
80184	
80184	CCDS55858
491	CCDS33701
491	CCDS2601
491	
81871	CCDS54125
101928891	
100507629	
4116	CCDS577
4116	
10112	
