EntrezGene ID	Ensembl Gene ID
4535	ENSG00000198888
4536	ENSG00000198763
4512	ENSG00000198804
4513	ENSG00000198712
4509	ENSG00000228253
4508	ENSG00000198899
4514	ENSG00000198938
4537	ENSG00000198840
4539	ENSG00000212907
4538	ENSG00000198886
4540	ENSG00000198786
4541	ENSG00000198695
4519	ENSG00000198727
4158	ENSG00000185231
117159	ENSG00000161634
3112	ENSG00000243496
7466	ENSG00000109501
653643	ENSG00000140478
51646	ENSG00000119801
55845	ENSG00000254999
9074	ENSG00000184697
8988	ENSG00000169271
9073	ENSG00000156284
390162	ENSG00000150269
723809	ENSG00000225329
874	ENSG00000159231
23440	ENSG00000171540
197350	ENSG00000228146
100874047	ENSG00000251372
100505625	ENSG00000248677
83658	ENSG00000125971
1050	ENSG00000245848
101927007	ENSG00000250772
64208	ENSG00000132429
40	ENSG00000108684
337972	ENSG00000186977
84281	ENSG00000187699
7189	ENSG00000175104
245938	ENSG00000178591
10489	ENSG00000132128
56975	ENSG00000177706
51200	ENSG00000128510
23191	ENSG00000280618
222255	ENSG00000146776
84674	ENSG00000132357
90019	ENSG00000149043
10598	ENSG00000100591
83861	ENSG00000130363
100130417	ENSG00000223764
388536	ENSG00000197863
94104	ENSG00000263141
643866	ENSG00000139899
3809	ENSG00000276885
285231	ENSG00000164049
100507564	ENSG00000226754
643707	ENSG00000184206
10816	ENSG00000101446
5281	ENSG00000151665
27152	ENSG00000164066
102723996	ENSG00000277117
51398	ENSG00000105583
2252	ENSG00000140285
285761	ENSG00000164465
81623	ENSG00000125788
7428	ENSG00000134086
4099	ENSG00000105695
79823	ENSG00000143919
105373876	ENSG00000237479
158219	ENSG00000155158
124923	ENSG00000167524
22835	ENSG00000120784
653641	ENSG00000167195
152687	ENSG00000272602
729597	ENSG00000260097
64412	ENSG00000125812
6015	ENSG00000228520
713	ENSG00000173369
3133	ENSG00000230254
135941	ENSG00000221938
22856	ENSG00000131873
140850	ENSG00000088782
54495	ENSG00000166479
100507173	ENSG00000281706
100288428	ENSG00000227110
101927394	ENSG00000227110
56245	ENSG00000262938
344595	ENSG00000243701
3577	ENSG00000163464
58530	ENSG00000244355
83890	ENSG00000145757
400684	ENSG00000267213
51209	ENSG00000123570
80010	ENSG00000178966
101927132	ENSG00000261231
114791	ENSG00000276856
100506428	ENSG00000236830
79645	ENSG00000034239
153643	ENSG00000153347
55168	ENSG00000096080
100507534	ENSG00000261325
5652	ENSG00000052344
4588	ENSG00000277518
56902	ENSG00000115946
6749	ENSG00000149136
9678	ENSG00000106443
168850	ENSG00000048405
136332	ENSG00000155530
92304	ENSG00000161055
83755	ENSG00000213416
64788	ENSG00000260807
105274304	ENSG00000261335
23001	ENSG00000163625
3812	ENSG00000276357
154442	ENSG00000203808
10980	ENSG00000168090
80184	ENSG00000198707
491	ENSG00000157087
81871	ENSG00000198090
101928891	ENSG00000237476
100507629	ENSG00000226995
4116	ENSG00000162385
10112	ENSG00000112984
1399	ENSG00000099942
26228	ENSG00000035720
22880	ENSG00000133422
27293	ENSG00000130768
643803	ENSG00000188694
85289	ENSG00000198271
100130148	ENSG00000279685
100507246	ENSG00000163597
241	ENSG00000132965
27145	ENSG00000118407
8705	ENSG00000235863
101929602	ENSG00000234676
93035	ENSG00000205038
6358	ENSG00000277236
100874097	ENSG00000229780
158798	ENSG00000186471
100128505	ENSG00000229105
81392	ENSG00000244623
154822	ENSG00000231419
84233	ENSG00000171202
7100	ENSG00000187554
3115	ENSG00000230763
1635	ENSG00000129187
51233	ENSG00000189269
79669	ENSG00000114529
340526	ENSG00000242732
22883	ENSG00000171603
101927120	ENSG00000281839
275	ENSG00000145020
101929066	ENSG00000245281
8170	ENSG00000132874
390144	ENSG00000205029
114905	ENSG00000163145
245927	ENSG00000214642
55773	ENSG00000036054
5020	ENSG00000101405
100129543	ENSG00000183850
122011	ENSG00000180138
55344	ENSG00000182378
200634	ENSG00000157992
4125	ENSG00000104774
100874253	ENSG00000224805
29890	ENSG00000259956
84255	ENSG00000157800
55585	ENSG00000160714
5903	ENSG00000153201
6348	ENSG00000278567
503639	ENSG00000225210
101928820	ENSG00000234155
4609	ENSG00000136997
22928	ENSG00000179918
101929210	ENSG00000246541
100131608	ENSG00000274540
102465255	ENSG00000278418
90332	ENSG00000130201
169714	ENSG00000165661
100616430	ENSG00000266245
100500873	ENSG00000266509
2936	ENSG00000104687
574473	ENSG00000207722
83690	ENSG00000121005
197322	ENSG00000176715
9895	ENSG00000196663
7710	ENSG00000179909
5104	ENSG00000188488
57657	ENSG00000143630
102465495	ENSG00000274831
100847049	ENSG00000265390
64285	ENSG00000007384
406938	ENSG00000277727
441294	ENSG00000271079
100616189	ENSG00000265538
100033799	ENSG00000201326
100124536	ENSG00000200394
100616176	ENSG00000266740
102465667	ENSG00000275891
79165	ENSG00000277457
100113379	ENSG00000238886
677838	ENSG00000278274
100130017	ENSG00000250426
1143	ENSG00000117971
100616304	ENSG00000263978
102465537	ENSG00000276313
93233	ENSG00000105479
100302172	ENSG00000221240
100302237	ENSG00000221160
8930	ENSG00000129071
2770	ENSG00000127955
442894	ENSG00000274389
407008	ENSG00000207939
2766	ENSG00000137198
100847030	ENSG00000264314
101929413	ENSG00000232900
100313772	ENSG00000221187
101929460	ENSG00000229720
1258	ENSG00000070729
407000	ENSG00000207732
102464834	ENSG00000275451
406945	ENSG00000207960
103504727	ENSG00000274060
102465881	ENSG00000278483
100302191	ENSG00000221494
9122	ENSG00000168679
2119	ENSG00000244405
407043	ENSG00000207603
154214	ENSG00000146373
677833	ENSG00000273525
102466866	ENSG00000263572
100422905	ENSG00000277380
100302201	ENSG00000221365
56126	ENSG00000120324
10471	ENSG00000204220
767594	ENSG00000199914
102466197	ENSG00000278524
100873998	ENSG00000230749
102465908	ENSG00000273934
102466812	ENSG00000278221
100124534	ENSG00000239183
100422879	ENSG00000264500
692210	ENSG00000221740
100033436	ENSG00000252326
6085	ENSG00000202354
100847026	ENSG00000264190
102465476	ENSG00000275711
100422888	ENSG00000266436
100302193	ENSG00000221265
100616125	ENSG00000265110
768216	ENSG00000211514
