EntrezGene ID	Ensembl Transcript ID
4535	ENST00000361390
4536	ENST00000361453
4512	ENST00000361624
4513	ENST00000361739
4509	ENST00000361851
4508	ENST00000361899
4514	ENST00000362079
4537	ENST00000361227
4539	ENST00000361335
4538	ENST00000361381
4540	ENST00000361567
4541	ENST00000361681
4519	ENST00000361789
4158	ENST00000327606
4158	ENST00000399821
117159	ENST00000293371
117159	ENST00000546807
117159	ENST00000456047
3112	ENST00000474604
3112	ENST00000454286
3112	ENST00000469995
3112	ENST00000413252
7466	ENST00000503569
7466	ENST00000506588
7466	ENST00000226760
7466	ENST00000507765
7466	ENST00000506362
7466	ENST00000513395
653643	ENST00000434739
653643	ENST00000618219
51646	ENST00000379520
51646	ENST00000379519
51646	ENST00000261353
51646	ENST00000490211
51646	ENST00000402003
51646	ENST00000402708
51646	ENST00000482474
51646	ENST00000470120
51646	ENST00000492439
51646	ENST00000495673
55845	ENST00000530758
9074	ENST00000396925
9074	ENST00000572154
9074	ENST00000328796
8988	ENST00000302005
9073	ENST00000399899
390162	ENST00000279791
723809	ENST00000631061
723809	ENST00000453666
874	ENST00000290354
23440	ENST00000306422
23440	ENST00000515716
197350	ENST00000575497
197350	ENST00000428155
197350	ENST00000635032
197350	ENST00000576807
100874047	ENST00000502757
100874047	ENST00000507145
100874047	ENST00000515282
100874047	ENST00000510736
100505625	ENST00000503989
100505625	ENST00000514788
83658	ENST00000357156
83658	ENST00000480759
83658	ENST00000300469
83658	ENST00000374846
1050	ENST00000498907
101927007	ENST00000503266
101927007	ENST00000512219
64208	ENST00000254765
64208	ENST00000489134
64208	ENST00000474760
64208	ENST00000429112
40	ENST00000225823
40	ENST00000359872
40	ENST00000448983
40	ENST00000579816
40	ENST00000583395
337972	ENST00000334151
84281	ENST00000478197
84281	ENST00000495546
84281	ENST00000490033
84281	ENST00000450357
84281	ENST00000396974
84281	ENST00000409545
84281	ENST00000409870
84281	ENST00000340623
84281	ENST00000443551
7189	ENST00000526995
7189	ENST00000348124
7189	ENST00000529150
245938	ENST00000608838
245938	ENST00000382410
10489	ENST00000496156
10489	ENST00000617190
10489	ENST00000615587
10489	ENST00000472710
10489	ENST00000498402
10489	ENST00000469150
10489	ENST00000343304
10489	ENST00000617760
56975	ENST00000313766
56975	ENST00000477004
56975	ENST00000471328
56975	ENST00000515795
56975	ENST00000512382
51200	ENST00000222482
51200	ENST00000497388
51200	ENST00000470542
51200	ENST00000474254
51200	ENST00000492072
51200	ENST00000490117
51200	ENST00000473956
51200	ENST00000493259
51200	ENST00000486598
51200	ENST00000488025
51200	ENST00000445470
23191	ENST00000626496
23191	ENST00000625601
23191	ENST00000625276
23191	ENST00000628954
23191	ENST00000630629
23191	ENST00000628956
23191	ENST00000626546
23191	ENST00000627204
23191	ENST00000627013
23191	ENST00000628747
23191	ENST00000630158
23191	ENST00000627816
222255	ENST00000419735
222255	ENST00000477775
222255	ENST00000484475
222255	ENST00000474433
222255	ENST00000472195
222255	ENST00000472910
222255	ENST00000485652
222255	ENST00000318724
222255	ENST00000478915
222255	ENST00000481880
222255	ENST00000464874
84674	ENST00000254691
84674	ENST00000381677
90019	ENST00000430303
90019	ENST00000417052
90019	ENST00000479276
90019	ENST00000490707
90019	ENST00000479089
90019	ENST00000381968
90019	ENST00000464897
90019	ENST00000475245
90019	ENST00000381978
90019	ENST00000341958
90019	ENST00000424556
90019	ENST00000482118
90019	ENST00000483280
90019	ENST00000494431
10598	ENST00000555133
10598	ENST00000216479
10598	ENST00000535854
10598	ENST00000554156
10598	ENST00000555517
10598	ENST00000556963
10598	ENST00000556866
10598	ENST00000553374
10598	ENST00000555457
10598	ENST00000555729
10598	ENST00000555473
10598	ENST00000556369
10598	ENST00000557476
83861	ENST00000367069
83861	ENST00000607398
83861	ENST00000449822
83861	ENST00000252655
100130417	ENST00000609207
100130417	ENST00000417705
100130417	ENST00000432961
388536	ENST00000356725
388536	ENST00000528994
388536	ENST00000586323
388536	ENST00000525288
388536	ENST00000527645
388536	ENST00000613249
388536	ENST00000614179
388536	ENST00000615484
94104	ENST00000573680
94104	ENST00000575821
94104	ENST00000611190
94104	ENST00000575419
94104	ENST00000574159
643866	ENST00000267406
643866	ENST00000555436
3809	ENST00000611311
285231	ENST00000296438
285231	ENST00000436231
285231	ENST00000445170
285231	ENST00000415155
285231	ENST00000477542
285231	ENST00000468158
100507564	ENST00000458151
643707	ENST00000510439
643707	ENST00000512109
643707	ENST00000515814
643707	ENST00000379674
643707	ENST00000422563
10816	ENST00000217428
5281	ENST00000281382
5281	ENST00000482786
5281	ENST00000420164
5281	ENST00000306465
5281	ENST00000412717
5281	ENST00000495933
5281	ENST00000474980
27152	ENST00000504491
