EntrezGene ID	Associated Gene Name
4535	MT-ND1
4536	MT-ND2
4512	MT-CO1
4513	MT-CO2
4509	MT-ATP8
4508	MT-ATP6
4514	MT-CO3
4537	MT-ND3
4539	MT-ND4L
4538	MT-ND4
4540	MT-ND5
4541	MT-ND6
4519	MT-CYB
4158	MC2R
117159	DCD
3112	HLA-DOB
7466	WFS1
653643	GOLGA6D
51646	YPEL5
55845	BRK1
9074	CLDN6
8988	HSPB3
9073	CLDN8
390162	OR5M9
723809	LHFPL3-AS2
874	CBR3
23440	OTP
197350	CASP16P
100874047	LINC00499
100505625	CTD-2044J15.1
83658	DYNLRB1
1050	CEBPA
101927007	LINC01365
64208	POPDC3
40	ASIC2
337972	KRTAP19-5
84281	C2orf88
7189	TRAF6
245938	DEFB125
10489	LRRC41
56975	FAM20C
51200	CPA4
23191	CYFIP1
222255	ATXN7L1
84674	CARD6
90019	SYT8
10598	AHSA1
83861	RSPH3
100130417	RP11-54O7.3
388536	ZNF790
94104	PAXBP1
643866	CBLN3
3809	KIR2DS4
285231	FBXW12
100507564	RP5-1024G6.5
643707	GOLGA6L4
10816	SPINT3
5281	PIGF
27152	INTU
102723996	CH507-9B2.1
51398	WDR83OS
2252	FGF7
285761	DCBLD1
81623	DEFB126
7428	VHL
4099	MAG
79823	CAMKMT
105373876	AC007557.2
158219	TTC39B
124923	SGK494
22835	ZFP30
653641	GOLGA6C
152687	ZNF595
729597	SPDYE6
64412	GZF1
6015	RING1
713	C1QB
3133	HLA-E
135941	OR2A14
22856	CHSY1
140850	DEFB127
54495	TMX3
100507173	LINC01012
100288428	LMCD1-AS1
101927394	LMCD1-AS1
56245	C21orf62
344595	DUBR
3577	CXCR1
58530	LY6G6D
83890	SPATA9
400684	AC007773.2
51209	RAB9B
80010	RMI1
101927132	RP11-523L20.2
114791	TUBGCP5
100506428	CBR3-AS1
79645	EFCAB1
153643	FAM81B
55168	MRPS18A
100507534	AC140542.2
5652	PRSS8
4588	MUC6
56902	PNO1
6749	SSRP1
9678	PHF14
168850	ZNF800
136332	LRGUK
92304	SCGB3A1
83755	KRTAP4-12
64788	RP11-161M6.2
105274304	RP11-318A15.2
23001	WDFY3
3812	KIR3DL2
154442	BVES-AS1
10980	COPS6
80184	CEP290
491	ATP2B2
81871	KRTAP4-6
101928891	XXbac-B135H6.15
100507629	LINC00658
4116	MAGOH
10112	KIF20A
1399	CRKL
26228	STAP1
22880	MORC2
27293	SMPDL3B
643803	KRTAP24-1
85289	KRTAP4-5
100130148	MAPT-IT1
100507246	SNHG16
241	ALOX5AP
27145	FILIP1
8705	B3GALT4
101929602	IFT74-AS1
93035	PKHD1L1
6358	CCL14
100874097	UBE2Q1-AS1
158798	AKAP14
100128505	ASTN2-AS1
81392	OR2AE1
154822	LINC00689
84233	TMEM126A
7100	TLR5
3115	HLA-DPB1
1635	DCTD
51233	DRICH1
79669	C3orf52
340526	RGAG4
22883	CLSTN1
101927120	AP000479.1
275	AMT
101929066	CTD-2547L16.1
8170	SLC14A2
390144	OR5D16
114905	C1QTNF7
245927	DEFB113
55773	TBC1D23
5020	OXT
100129543	ZNF730
122011	CSNK1A1L
55344	PLCXD1
