EntrezGene ID	RefSeq mRNA [e.g. NM_001195597]
4535	4535
4536	4536
4512	4512
4513	4513
4509	4509
4508	4508
4514	4514
4537	4537
4539	4539
4538	4538
4540	4540
4541	4541
4519	4519
4158	NM_000529
4158	NM_001291911
4158	
117159	NM_053283
117159	
117159	NM_001300854
3112	
3112	NM_002120
7466	
7466	NM_006005
7466	NM_001145853
653643	NM_001145224
653643	
51646	NM_001127401
51646	NM_001127400
51646	NM_016061
51646	
51646	NM_001127399
55845	NM_018462
9074	
9074	NM_021195
8988	NM_006308
9073	NM_199328
390162	NM_001004743
723809	
874	NM_001236
23440	NM_032109
23440	
197350	
100874047	
100505625	
83658	NM_014183
83658	NM_001281727
83658	
1050	NM_001287424
1050	NM_001287435
1050	NM_001285829
1050	NM_004364
101927007	
64208	NM_022361
64208	
40	NM_183377
40	NM_001094
40	
337972	NM_181611
84281	
84281	NM_001042521
84281	NM_032321
84281	NM_001042519
84281	NM_001042520
7189	NM_004620
7189	NM_145803
7189	
245938	
245938	NM_153325
10489	
10489	NM_006369
56975	NM_020223
56975	
51200	NM_016352
51200	
51200	NM_001163446
23191	
23191	NM_014608
23191	NM_001287810
222255	NM_020725
222255	NM_138495
222255	
222255	NM_152749
84674	NM_032587
84674	
90019	
90019	NM_138567
90019	NM_001290334
90019	NM_001290333
90019	NM_001290332
10598	
10598	NM_012111
83861	
83861	NM_031924
100130417	
388536	NM_206894
388536	
388536	NM_001242800
388536	NM_001242801
388536	NM_001242802
94104	
94104	NM_013329
94104	NM_016631
643866	NM_001039771
643866	
3809	NM_012314
285231	NM_207102
285231	
285231	NM_001159929
285231	NM_001159927
100507564	
643707	NM_001267536
643707	
10816	NM_006652
5281	NM_002643
5281	
5281	NM_173074
27152	
27152	NM_015693
102723996	
51398	NM_016145
51398	
2252	
2252	NM_002009
285761	
285761	NM_173674
81623	NM_030931
81623	
7428	NM_000551
7428	NM_198156
7428	
4099	
4099	NM_002361
4099	NM_080600
4099	NM_001199216
79823	
79823	NM_024766
105373876	
158219	NM_001168339
158219	NM_152574
158219	
158219	NM_001168342
158219	NM_001168340
158219	NM_001168341
124923	
124923	NM_001174103
22835	
22835	NM_014898
653641	NM_001164404
152687	NM_182524
152687	NM_001286054
152687	NM_001286053
152687	NM_001286052
152687	
729597	NM_001146210
64412	NM_001317012
64412	
64412	NM_022482
6015	NM_002931
6015	
713	
713	NM_000491
3133	NM_005516
3133	
135941	NM_001001659
135941	
22856	NM_014918
22856	
140850	NM_139074
54495	NM_019022
54495	
100507173	
100288428	
101927394	
56245	NM_019596
56245	NM_001162496
56245	
56245	NM_001162495
344595	
3577	NM_000634
58530	NM_021246
58530	
83890	
83890	NM_031952
400684	
51209	NM_016370
80010	
80010	NM_024945
101927132	
114791	
114791	NM_052903
114791	NM_001102610
100506428	
79645	
79645	NM_024593
79645	NM_001142857
153643	NM_152548
153643	
55168	NM_018135
55168	NM_001193343
55168	
100507534	
5652	NM_002773
5652	
4588	
4588	NM_005961
56902	NM_020143
56902	
6749	NM_003146
6749	
9678	
9678	NM_014660
168850	
168850	NM_176814
136332	NM_144648
136332	
92304	NM_052863
92304	
83755	NM_031854
64788	
105274304	
23001	NM_014991
23001	
3812	NM_006737
3812	NM_001242867
154442	
10980	NM_006833
10980	
80184	
80184	NM_025114
491	
491	NM_001683
491	NM_001001331
81871	NM_030976
101928891	
100507629	
4116	NM_002370
4116	
10112	
10112	NM_005733
1399	NM_005207
1399	
26228	NM_012108
26228	NM_001317769
22880	NM_001303256
22880	NM_001303257
22880	
22880	NM_014941
27293	NM_001304579
27293	NM_014474
27293	
27293	NM_001009568
643803	NM_001085455
85289	NM_033188
100130148	
100507246	
241	NM_001629
241	
241	NM_001204406
27145	NM_001300866
27145	NM_001289987
27145	NM_015687
27145	
8705	NM_003782
8705	
101929602	
93035	NM_177531
93035	
6358	
6358	NM_032963
6358	NM_032962
100874097	
158798	NM_178813
158798	NM_001008535
158798	
158798	NM_001008534
100128505	
81392	NM_001005276
154822	
84233	
84233	NM_001244735
84233	NM_032273
7100	NM_003268
7100	
3115	NM_002121
3115	
1635	
1635	NM_001012732
1635	NM_001921
51233	NM_016449
51233	
79669	
79669	NM_024616
79669	NM_001171747
340526	
340526	NM_001024455
22883	NM_001009566
22883	NM_001302883
22883	
22883	NM_014944
101927120	
275	
275	NM_001164710
275	NM_000481
275	NM_001164712
275	NM_001164711
101929066	
8170	NM_001242692
8170	NM_007163
8170	
390144	NM_001005496
114905	
114905	NM_001135170
114905	NM_031911
114905	NM_001135171
245927	NM_001037729
55773	
55773	NM_018309
55773	NM_001199198
5020	NM_000915
100129543	
100129543	NM_001277403
122011	NM_145203
55344	
55344	NM_018390
200634	NM_173853
200634	
200634	NM_001168364
4125	
4125	NM_000528
4125	NM_001173498
100874253	
29890	NM_013286
84255	
84255	NM_032295
84255	NM_001287498
84255	NM_207113
55585	NM_017582
55585	
5903	NM_006267
5903	
6348	NM_002983
6348	
503639	
101928820	
4609	
4609	NM_002467
22928	NM_012248
101929210	
100131608	NM_001282479
102465255	
90332	
90332	NM_138568
169714	NM_181701
169714	
100616430	
100500873	
2936	NM_000637
2936	NM_001195104
2936	NM_001195103
2936	NM_001195102
2936	
574473	
83690	NM_031461
83690	
83690	NM_001286778
83690	NM_001286777
197322	
197322	NM_001284316
197322	NM_001127214
197322	NM_174917
197322	NM_001243279
9895	NM_014844
9895	
9895	NM_001172631
7710	NM_001085384
7710	
5104	
5104	NM_000624
57657	NM_020897
57657	
102465495	
100847049	
64285	NM_022450
64285	
406938	
441294	NM_001008747
100616189	
100033799	
100124536	
100616176	
102465667	
79165	NM_024316
100113379	
677838	
100130017	
1143	NM_000750
1143	NM_001256567
1143	
100616304	
102465537	
93233	NM_144577
93233	
100302172	
100302237	
8930	NM_001276270
8930	NM_003925
8930	NM_001276272
8930	
8930	NM_001276271
8930	NM_001276273
2770	
2770	NM_002069
2770	NM_001256414
442894	
407008	
2766	NM_006877
2766	
100847030	
101929413	
100313772	
101929460	
1258	NM_001297
1258	NM_001286130
1258	
1258	NM_001135639
407000	
102464834	
406945	
103504727	
102465881	
100302191	
9122	NM_004696
9122	NM_001201546
9122	NM_001201549
9122	
9122	NM_001201547
9122	NM_001201548
2119	NM_004454
2119	
407043	
154214	NM_001286398
154214	
154214	NM_152553
677833	
102466866	
100422905	
100302201	
56126	NM_018930
56126	
10471	
10471	NM_001185181
10471	NM_001265596
10471	NM_001265595
10471	NM_014260
767594	
102466197	
100873998	
102465908	
102466812	
100124534	
100422879	
692210	
100033436	
6085	
100847026	
102465476	
100422888	
100302193	
100616125	
768216	
406993	
653282	NM_001080140
100616490	
102465500	
100422971	
100847084	
84823	
84823	NM_032737
100873857	
767606	
693172	
100422998	
100423034	
102465501	
103504729	
100847007	
112724	NM_138412
112724	NM_001145971
79143	NM_001146082
79143	NM_024298
79143	NM_001146083
79143	NM_001146056
26801	
100616236	
100847093	
100033444	
6880	NM_016283
6880	
6880	NM_001015891
102157402	NM_016283
102157402	
102157402	NM_001015891
139189	NM_001013742
80231	NM_025159
26784	
3224	NM_022658
102466719	
100500870	
100422886	
103504733	
574497	
692233	
100422979	
102466985	
693182	
574463	
100008587	
100500814	
767592	
406916	
5698	
5698	NM_002800
128866	NM_176812
51206	NM_016363
51206	NM_001083899
51206	NM_001256017
100616218	
574461	
54893	NM_017762
54893	
100616182	
102466727	
869	NM_004352
869	
100500859	
26811	
4599	
4599	NM_001144925
4599	NM_002462
4599	NM_001178046
4599	NM_001282920
100616230	
26812	
692149	
100422983	
102465254	
100422944	
768212	
100616450	
100616225	
100616500	
27316	
27316	NM_001164803
27316	NM_002139
100422965	
693155	
100616403	
677844	
102465875	
677835	
677808	
26080	
100846991	
55655	
55655	NM_001174082
55655	NM_001174083
55655	NM_017852
55655	NM_001174081
677805	
100616186	
100847019	
26783	
406941	
100422956	
267010	
102466734	
100616378	
29995	NM_014583
29995	NM_001278235
29995	
