EntrezGene ID	RefSeq ncRNA [e.g. NR_002834]
4535	
4536	
4512	
4513	
4509	
4508	
4514	
4537	
4539	
4538	
4540	
4541	
4519	
4158	
117159	
3112	
7466	
653643	
51646	
55845	
9074	
8988	
9073	
390162	
723809	NR_027374
723809	
874	
23440	
197350	
197350	NR_132322
100874047	
100874047	NR_051987
100505625	NR_103771
100505625	
83658	
1050	
101927007	NR_110660
101927007	
64208	
40	
337972	
84281	
7189	
245938	
10489	
56975	
51200	
23191	
222255	
84674	
90019	
10598	
83861	
100130417	
100130417	NR_122045
388536	
94104	
643866	
3809	
285231	
100507564	NR_038953
643707	
10816	
5281	
27152	
102723996	
51398	
2252	
285761	
81623	
7428	
4099	
79823	
105373876	
158219	
124923	
22835	
653641	
152687	
729597	
64412	
6015	
713	
3133	
135941	
22856	
140850	
54495	
100507173	NR_038293
100507173	NR_038294
100507173	
100507173	NR_038292
100288428	NR_110131
100288428	
100288428	NR_033378
101927394	NR_110131
101927394	
101927394	NR_033378
56245	
344595	
344595	NR_028302
3577	
58530	
83890	
400684	NR_046201
51209	
80010	
101927132	
101927132	NR_110650
114791	
100506428	NR_038893
100506428	NR_038892
100506428	
100506428	NR_038894
79645	
153643	
55168	
100507534	NR_110649
5652	
4588	
56902	
6749	
9678	
168850	
136332	
92304	
83755	
64788	
64788	NR_036442
105274304	NR_130916
23001	
3812	
154442	
154442	NR_037157
10980	
80184	
491	
81871	
101928891	NR_110537
100507629	
100507629	NR_038240
100507629	NR_038239
4116	
10112	
1399	
26228	
22880	
27293	
643803	
85289	
100130148	NR_024560
100507246	
100507246	NR_038111
100507246	NR_038110
241	
27145	
8705	
101929602	NR_121605
93035	
6358	
100874097	NR_046668
158798	
100128505	NR_033973
81392	
154822	
154822	NR_024394
84233	
7100	
3115	
1635	
51233	
79669	
340526	
22883	
101927120	
275	
275	NR_028435
101929066	NR_125430
101929066	
8170	
390144	
114905	
245927	
55773	
5020	
100129543	
122011	
55344	
200634	
4125	
100874253	NR_047498
29890	
84255	
55585	
5903	
6348	
503639	
503639	NR_110526
101928820	
4609	
22928	
101929210	NR_125922
100131608	
102465255	NR_106767
90332	
169714	
100616430	NR_039787
100500873	NR_037498
2936	
574473	NR_030195
83690	
197322	
197322	NR_045667
9895	
7710	
5104	
57657	
102465495	NR_106882
100847049	NR_049795
64285	
406938	NR_029701
441294	
100616189	NR_039617
100033799	NR_003314
100124536	NR_003706
100616176	NR_039857
102465667	NR_106960
79165	
100113379	NR_003685
677838	NR_002987
100130017	NR_015446
100130017	
1143	
100616304	NR_039721
102465537	NR_106951
93233	
100302172	NR_031659
100302237	NR_031694
8930	
2770	
442894	NR_029857
407008	NR_029637
2766	
100847030	NR_049845
101929413	NR_109866
