EntrezGene ID	Affy mouse430 2 probeset
17716	
17717	
17708	
17709	
17706	
17705	
17710	
17718	
17720	
17719	
17721	
17722	
17711	
403185	
627537	
18712	1435458_at
18712	1423006_at
239852	
20363	1452141_a_at
20363	
213990	1423910_at
213990	1434032_at
14745	1448606_at
14745	1426110_a_at
14745	1417143_at
14745	
223666	1453450_at
223666	1447521_x_at
223666	1434445_at
223666	
140570	1416683_at
140570	
110213	1451586_at
110213	
258424	
50873	1426135_a_at
50873	1449975_a_at
50873	1420755_a_at
50873	
18992	1450831_at
18992	1453478_at
666750	
100504200	
71421	1453439_at
72267	1438445_at
72267	1456008_at
72267	
76585	1420741_x_at
67758	
67758	1448813_at
236537	1425879_at
236537	1425880_x_at
545547	
101056173	
102631913	
102631990	
102634260	
102634371	
102637124	
102640611	
102640691	
102640878	
69155	1433867_at
69155	1429198_at
19112	1418418_a_at
57248	1425890_at
223739	1454786_at
223739	1435745_at
223739	
16160	1449497_at
16160	1419530_at
242627	
14732	1425834_a_at
243912	1436332_at
243914	1434121_at
243914	
57444	1419569_a_at
57444	
333193	
258268	
27176	1422613_a_at
27176	
105245385	1422613_a_at
105245385	
333182	1435275_at
333182	
83434	1450233_a_at
83434	
380839	
230157	1426649_at
230157	
22724	1420663_at
22724	1455071_at
22724	
17178	1418374_at
17178	
75660	1426577_a_at
75660	
258423	
17250	1421378_s_at
17250	1452233_at
17250	
75956	1438688_at
75956	1427902_at
75956	
14600	1451871_a_at
14600	1451501_a_at
14600	
14600	1417962_s_at
241275	
244486	
68323	1451329_at
68323	1460358_s_at
547431	1442199_at
18406	1420438_at
11698	1449417_at
382217	
666842	
67111	1452067_at
67111	1452068_at
67111	1430819_at
30794	1417928_at
30794	
15013	
15013	1418734_at
12511	1451910_a_at
12511	
74157	1440497_at
74157	1423681_at
74157	1449655_a_at
74157	1451082_at
74157	
72090	
72090	1429550_at
246179	1435801_at
246179	1425031_at
246179	1446624_at
246179	1451853_at
192187	1450199_a_at
192187	
59033	1441700_at
59033	1423443_at
59033	1419851_at
59033	
71101	1430431_at
71101	1437799_at
71101	1460040_at
71101	1439495_at
56194	1429436_at
56194	1420917_at
56194	1450035_a_at
56194	1420916_at
56194	1442171_at
56194	1429437_at
56194	
320352	1447173_at
320352	
320352	1447166_at
665578	
58230	1424120_at
58230	
15354	1416155_at
22035	1439680_at
22035	1459913_at
22035	1420412_at
22035	
233168	1455914_at
233168	1454853_s_at
233168	
245128	1435154_at
245128	
74185	1420654_a_at
74185	
381085	1436053_at
18583	1439484_at
18583	1451839_a_at
18583	1423313_at
18583	1458218_s_at
18583	1438041_at
18583	1450933_at
18583	1423314_s_at
18583	
224405	
224405	1435701_at
224405	1452019_at
66412	1426818_at
66412	1424759_at
76390	1440453_at
76390	
68597	
68597	1444550_at
68597	1452437_at
223809	1428318_at
223809	1431727_at
223809	
378425	1440921_at
378425	
67224	1421902_at
67224	1421903_at
67224	1436415_at
53623	
53623	1420563_at
53623	1434728_at
22695	1452519_a_at
434800	
67911	1430664_at
67911	
214704	1436831_at
56327	1422549_at
56327	1458565_at
56327	
76582	1428096_at
76582	
76582	1429717_at
57271	1422384_at
215748	1433983_at
74481	1430005_a_at
22154	1416256_a_at
22154	1455719_at
22154	
110304	
110304	1450239_at
67846	1423316_at
67846	1441490_at
67846	
212114	1447423_at
212114	1456026_at
212114	
170829	1419342_at
170829	1439539_at
170829	1456461_at
170829	
71468	1453090_x_at
231044	1456760_at
627576	
106052	1427121_at
59054	1427158_at
230623	
101835	1454853_s_at
101835	
110454	1417185_at
110454	
545156	1436066_at
545156	
545156	1429796_at
545156	1457899_at
545156	1457690_at
545156	1448023_at
14694	1455168_a_at
14694	1440120_at
14694	
269902	
246792	1456017_x_at
246792	1453090_x_at
246792	1456305_x_at
224572	
15015	1451644_a_at
20272	1427495_at
20272	1436043_at
20272	1436044_at
69382	1429828_at
211007	1424275_s_at
211007	
18768	1421138_a_at
18768	1421137_a_at
18768	
320376	1438469_at
320376	1454172_at
320376	
16414	1450678_at
16414	
321008	1453086_at
321008	
321008	1443910_at
17129	1421047_at
17129	1433641_at
17129	1451873_a_at
17129	
319945	1424423_at
319945	1424422_s_at
319945	1424421_at
319945	1422309_a_at
319945	
68202	1417285_a_at
68202	1417286_at
246791	1452634_at
246791	
14595	1418014_a_at
14595	
16881	1416641_at
16881	
627636	
70605	1428278_at
70605	1452719_at
18752	
18752	1421446_at
18752	1455758_at
259011	
100182	1452393_at
100182	1427325_s_at
100182	
57275	1422309_a_at
57275	1424423_at
57275	1424422_s_at
229474	1439018_at
229474	
208188	1446756_at
57270	1450600_at
29861	1420530_at
29861	1420529_at
29861	
238663	1438584_at
258344	
13801	1421699_at
13401	1435505_at
16497	
16497	1454043_a_at
16497	1448468_a_at
100042781	1450331_s_at
21885	1422751_at
21885	1434033_at
21885	
15205	1418102_at
15205	
59013	1415872_at
59013	
71997	
71997	1460435_at
50918	1423321_at
50918	1439389_s_at
50918	
78910	1460281_at
78910	1439836_at
216152	
216152	1454761_at
102638268	
57269	1422371_at
117590	1421466_at
117590	1441581_at
117590	
20708	1422804_at
22313	
69046	1423652_at
69046	1423651_at
69046	
666048	1439849_at
666048	1443939_at
545909	
74488	1436055_at
74488	1453214_at
319653	1438005_at
319653	
26398	1451982_at
26398	1426233_at
26398	
258236	
16069	1424305_at
19152	1419669_at
19152	
75712	1428447_at
434110	
103694	1448422_at
103694	1448423_at
103694	
80859	1417483_at
80859	1448728_a_at
80859	
321020	
67041	1428140_at
67041	1455804_x_at
67041	1449059_a_at
67041	1436750_a_at
67041	
279706	
100041362	
12268	1418021_at
12268	
102643089	1418021_at
102643089	
226144	1424210_at
226144	1441344_at
226144	
381714	1429993_s_at
381714	
19205	1450443_at
19205	1424874_a_at
19205	
259008	
100038862	
12483	1419768_at
12483	1419769_at
12483	
12483	1445222_at
627743	
16644	1426045_at
16644	1416676_at
16644	
14864	1427473_at
14864	1427474_s_at
66705	1450936_a_at
66705	1423320_at
442803	1444381_at
624245	1429993_s_at
17240	1420713_a_at
17240	1425924_at
17240	
17122	1434379_at
17122	1434378_a_at
17122	1422574_at
17122	
66780	1420787_at
22305	1450331_s_at
26400	1425512_at
26400	1425393_a_at
26400	1451736_a_at
26400	1425513_at
26400	
68016	1420551_at
224576	
81904	1426336_at
81904	1439745_at
21350	1460309_at
21350	1450517_at
382010	1434462_at
382010	
382010	1440773_at
69009	1452069_a_at
69009	1426428_at
69009	1426429_at
622554	1453942_at
72404	1435051_at
72404	1430775_at
72404	
21684	1430912_a_at
21684	
52076	1456544_at
52076	1424700_at
52076	1449677_s_at
52076	
76205	
76205	1430274_a_at
100503549	
19156	1415687_a_at
19156	1421813_a_at
81905	1451864_at
81905	1459579_at
107260	1417705_at
107260	1448817_at
107951	1457240_at
107951	1417269_at
107951	
18987	1427713_x_at
18987	1427725_a_at
18987	1443885_at
18987	
68695	1452875_at
68695	1428692_at
68695	
12116	1450624_at
12116	
238803	
100041678	1452731_x_at
100041678	1431262_at
100041678	1428301_at
100041678	
239318	
239318	1436821_at
14114	1451119_a_at
14114	1439688_at
14114	1422540_at
14114	
75953	1455782_at
75953	
75953	1430817_at
216767	1435995_at
216767	
14765	1450346_at
14765	1455498_at
54378	1451811_at
54378	1425730_at
140481	1435203_at
140481	
140481	1457498_at
72007	1452783_at
72007	1454574_at
72007	1433833_at
72007	
68606	1454934_at
68606	1430631_at
68606	
19703	1450107_a_at
19703	
100041012	1452731_x_at
100041012	1431262_at
100041012	1428301_at
100169868	1452731_x_at
100169868	1431262_at
100169868	1428301_at
100504488	1452731_x_at
100504488	1431262_at
100504488	1428301_at
101055754	1452731_x_at
101055754	1431262_at
101055754	1428301_at
102637020	1452731_x_at
102637020	1431262_at
102637020	1428301_at
102638110	1452731_x_at
102638110	1431262_at
102638110	1428301_at
20731	1427119_at
20731	
231125	1434504_at
231125	
11504	1450716_at
11504	
93843	1422711_a_at
30942	1422182_at
30942	1450518_at
231045	
66773	1429993_s_at
666706	
26896	1450229_at
26896	1437632_at
26896	1456785_at
26896	
75434	1432525_at
75434	1432513_a_at
54624	1416874_a_at
54624	
22312	
20392	1420688_a_at
20392	
66398	1451369_at
66398	1449694_s_at
245126	
100044509	
100044509	1457182_at
100044509	1440442_at
17067	
17067	1421571_a_at
12867	
12867	1448112_at
102642884	
102642884	1448112_at
14380	1422326_at
14380	1422327_s_at
241431	
209446	
209446	1434318_a_at
67391	1460434_at
67391	1428317_at
67391	1428316_a_at
67391	
100048884	
100861909	
12491	1450883_a_at
12491	1423166_at
12491	1450884_at
12491	
232585	
272031	1436734_at
272031	1436733_at
272031	1439731_at
272031	1446557_at
272031	
11787	1426719_at
11787	1426720_at
11787	1452342_at
11787	
14165	1420690_at
14165	
12022	1423342_at
107338	1415757_at
107338	1438207_at
107338	1415709_s_at
107338	
14069	1449558_at
14069	
12274	1449308_at
12274	
16169	1448681_at
16169	1422397_a_at
16169	
210145	1440909_at
210145	
57781	1439703_at
57781	1422191_at
672284	
26569	1424441_at
26569	
234362	1424091_at
234362	
237253	
237253	1433536_at
320923	
65221	
65221	1420697_at
258922	
15569	1421881_a_at
