EntrezGene ID	Ensembl Gene ID
17716	ENSMUSG00000064341
17717	ENSMUSG00000064345
17708	ENSMUSG00000064351
17709	ENSMUSG00000064354
17706	ENSMUSG00000064356
17705	ENSMUSG00000064357
17710	ENSMUSG00000064358
17718	ENSMUSG00000064360
17720	ENSMUSG00000065947
17719	ENSMUSG00000064363
17721	ENSMUSG00000064367
17722	ENSMUSG00000064368
17711	ENSMUSG00000064370
81016	ENSMUSG00000092579
30942	ENSMUSG00000017688
78926	ENSMUSG00000034201
73090	ENSMUSG00000030385
15160	ENSMUSG00000022766
93882	ENSMUSG00000051486
24068	ENSMUSG00000006050
225372	ENSMUSG00000006050
71910	ENSMUSG00000031570
100043614	ENSMUSG00000095962
13419	ENSMUSG00000005980
100862025	ENSMUSG00000099840
102635480	ENSMUSG00000099840
268395	ENSMUSG00000020287
547431	ENSMUSG00000024340
227058	ENSMUSG00000041144
71909	ENSMUSG00000078762
244484	ENSMUSG00000039375
236785	ENSMUSG00000067971
68977	ENSMUSG00000061046
29861	ENSMUSG00000030584
104362	ENSMUSG00000026650
171257	ENSMUSG00000069296
100039467	ENSMUSG00000094759
71722	ENSMUSG00000005442
547154	ENSMUSG00000100448
69386	ENSMUSG00000060981
102641229	ENSMUSG00000060981
100859931	ENSMUSG00000041716
387586	ENSMUSG00000071816
226304	ENSMUSG00000033774
22759	ENSMUSG00000095990
16160	ENSMUSG00000004296
328059	ENSMUSG00000020600
171278	ENSMUSG00000069294
217682	ENSMUSG00000066438
94227	ENSMUSG00000067780
93873	ENSMUSG00000051599
94191	ENSMUSG00000052551
67084	ENSMUSG00000023185
67474	ENSMUSG00000022765
22526	ENSMUSG00000094624
50760	ENSMUSG00000030598
100312476	ENSMUSG00000091539
72129	ENSMUSG00000020283
234344	ENSMUSG00000014907
257996	ENSMUSG00000095893
210940	ENSMUSG00000073722
66931	ENSMUSG00000023873
20451	ENSMUSG00000056812
100038417	ENSMUSG00000073551
73754	ENSMUSG00000037214
449000	ENSMUSG00000096696
384695	ENSMUSG00000094385
217837	ENSMUSG00000057963
12939	ENSMUSG00000104318
68318	ENSMUSG00000053040
100040563	ENSMUSG00000000579
434113	ENSMUSG00000094098
81017	ENSMUSG00000058631
100039499	ENSMUSG00000058631
66070	ENSMUSG00000004096
71999	ENSMUSG00000032309
66381	ENSMUSG00000098134
75352	ENSMUSG00000046180
19335	ENSMUSG00000004768
15511	ENSMUSG00000090877
69129	ENSMUSG00000069633
17870	ENSMUSG00000044597
93872	ENSMUSG00000051663
239857	ENSMUSG00000064115
244431	ENSMUSG00000039539
110187	ENSMUSG00000066586
54651	ENSMUSG00000046269
268890	ENSMUSG00000061080
170776	ENSMUSG00000040165
241035	ENSMUSG00000043760
13434	ENSMUSG00000026723
93879	ENSMUSG00000045876
210135	ENSMUSG00000057101
102643195	ENSMUSG00000057101
100043051	ENSMUSG00000094542
74335	ENSMUSG00000021287
16769	ENSMUSG00000001804
100043868	ENSMUSG00000078752
108072	ENSMUSG00000000617
59058	ENSMUSG00000025128
30959	ENSMUSG00000032101
210962	ENSMUSG00000048411
246081	ENSMUSG00000045337
18010	ENSMUSG00000007038
109672	ENSMUSG00000024646
70009	ENSMUSG00000094739
100039574	ENSMUSG00000094739
100040429	ENSMUSG00000094739
100042268	ENSMUSG00000094739
100042475	ENSMUSG00000094739
100042669	ENSMUSG00000094739
100861821	ENSMUSG00000094739
100861825	ENSMUSG00000094739
100862342	ENSMUSG00000094739
101056091	ENSMUSG00000094739
101056099	ENSMUSG00000094739
101056121	ENSMUSG00000094739
102632326	ENSMUSG00000094739
102640729	ENSMUSG00000094739
628946	ENSMUSG00000095864
59044	ENSMUSG00000020376
67455	ENSMUSG00000036782
68028	ENSMUSG00000039221
93874	ENSMUSG00000045498
171254	ENSMUSG00000095125
624681	ENSMUSG00000092618
224105	ENSMUSG00000022781
72747	ENSMUSG00000024424
668976	ENSMUSG00000079702
14734	ENSMUSG00000055653
76938	ENSMUSG00000037197
73261	ENSMUSG00000005983
83885	ENSMUSG00000050304
240263	ENSMUSG00000033319
99696	ENSMUSG00000044864
73244	ENSMUSG00000019756
12018	ENSMUSG00000057789
80732	ENSMUSG00000037730
75497	ENSMUSG00000027530
70192	ENSMUSG00000079168
75801	ENSMUSG00000021098
57249	ENSMUSG00000031344
56525	ENSMUSG00000047603
76478	ENSMUSG00000035439
67048	ENSMUSG00000073131
14654	ENSMUSG00000000263
20997	ENSMUSG00000062327
80837	ENSMUSG00000046768
110895	ENSMUSG00000026065
13731	ENSMUSG00000022505
328092	ENSMUSG00000020956
75668	ENSMUSG00000034209
100038947	ENSMUSG00000074677
14634	ENSMUSG00000021318
70062	ENSMUSG00000031181
171247	ENSMUSG00000069292
100042810	ENSMUSG00000090662
381337	ENSMUSG00000046337
14762	ENSMUSG00000035148
98682	ENSMUSG00000041439
171241	ENSMUSG00000043308
93715	ENSMUSG00000103472
194744	ENSMUSG00000037636
208171	ENSMUSG00000033177
71597	ENSMUSG00000031621
236663	ENSMUSG00000069038
66868	ENSMUSG00000027775
257882	ENSMUSG00000090824
26466	ENSMUSG00000049421
110385	ENSMUSG00000031842
12590	ENSMUSG00000024619
77037	ENSMUSG00000039956
74018	ENSMUSG00000026024
100040196	ENSMUSG00000096686
102641317	ENSMUSG00000096686
224630	ENSMUSG00000024191
216618	ENSMUSG00000020462
18983	ENSMUSG00000031601
100042450	ENSMUSG00000093536
67542	ENSMUSG00000027742
18997	ENSMUSG00000031688
171225	ENSMUSG00000042848
237761	ENSMUSG00000044352
171253	ENSMUSG00000099917
244701	ENSMUSG00000050901
78896	ENSMUSG00000026051
269870	ENSMUSG00000033961
76779	ENSMUSG00000014232
104027	ENSMUSG00000043079
171167	ENSMUSG00000046152
67023	ENSMUSG00000002395
14394	ENSMUSG00000010803
14696	ENSMUSG00000027669
217980	ENSMUSG00000033499
100861898	ENSMUSG00000097581
100384868	ENSMUSG00000103458
243864	ENSMUSG00000040987
17082	ENSMUSG00000026069
100043103	ENSMUSG00000094602
106393	ENSMUSG00000022519
14859	ENSMUSG00000025934
100042776	ENSMUSG00000092019
620235	ENSMUSG00000091055
58239	ENSMUSG00000038055
232811	ENSMUSG00000059851
235134	ENSMUSG00000042185
20700	ENSMUSG00000066366
20703	ENSMUSG00000066366
387334	ENSMUSG00000058568
11764	ENSMUSG00000009090
67911	ENSMUSG00000050954
102641600	ENSMUSG00000079941
213582	ENSMUSG00000033900
81904	ENSMUSG00000069806
66755	ENSMUSG00000073730
100042428	ENSMUSG00000095867
68916	ENSMUSG00000006191
102631730	ENSMUSG00000062511
399558	ENSMUSG00000047414
14369	ENSMUSG00000041075
100504156	ENSMUSG00000096753
22719	ENSMUSG00000050605
70481	ENSMUSG00000054383
319173	ENSMUSG00000061991
100042168	ENSMUSG00000078218
53817	ENSMUSG00000019432
93716	ENSMUSG00000103897
20259	ENSMUSG00000002565
16532	ENSMUSG00000031576
207806	ENSMUSG00000068284
21946	ENSMUSG00000030413
68637	ENSMUSG00000068073
235312	ENSMUSG00000079592
211652	ENSMUSG00000018849
13108	ENSMUSG00000049685
83815	ENSMUSG00000023919
319555	ENSMUSG00000048148
76509	ENSMUSG00000032068
15931	ENSMUSG00000035847
330723	ENSMUSG00000037406
11499	ENSMUSG00000031554
108934	ENSMUSG00000091264
546944	ENSMUSG00000094187
380839	ENSMUSG00000079049
110119	ENSMUSG00000032306
75329	ENSMUSG00000039200
170835	ENSMUSG00000034570
17171	ENSMUSG00000068037
81012	ENSMUSG00000062483
213043	ENSMUSG00000079554
58172	ENSMUSG00000049800
107829	ENSMUSG00000034274
50788	ENSMUSG00000033313
100040606	ENSMUSG00000101500
78303	ENSMUSG00000056895
72148	ENSMUSG00000050052
245404	ENSMUSG00000045284
240411	ENSMUSG00000032818
22376	ENSMUSG00000031165
620419	ENSMUSG00000092260
666803	ENSMUSG00000095522
67198	ENSMUSG00000038305
26465	ENSMUSG00000037029
102643033	ENSMUSG00000037029
72614	ENSMUSG00000000167
70998	ENSMUSG00000025626
16150	ENSMUSG00000031537
238055	ENSMUSG00000020609
72054	ENSMUSG00000003484
67414	ENSMUSG00000027668
381062	ENSMUSG00000036552
100041574	ENSMUSG00000036552
100041621	ENSMUSG00000036552
