EntrezGene ID	Associated Gene Name
17716	mt-Nd1
17717	mt-Nd2
17708	mt-Co1
17709	mt-Co2
17706	mt-Atp8
17705	mt-Atp6
17710	mt-Co3
17718	mt-Nd3
17720	mt-Nd4l
17719	mt-Nd4
17721	mt-Nd5
17722	mt-Nd6
17711	mt-Cytb
81016	Vmn1r62
30942	Hnf4g
78926	Gas2l1
73090	2900092C05Rik
15160	Serpind1
93882	Pcdhb11
24068	Sra1
225372	Sra1
71910	Ppapdc1b
100043614	Vmn1r137
13419	Dnase1
100862025	Gm21409
102635480	Gm21409
268395	Mpg
547431	Btnl2
227058	Dnah7b
71909	Haus5
244484	Wdr17
236785	Olfr1321
68977	Haghl
29861	Dpf1
104362	Meig1
171257	Vmn1r195
100039467	Gm10487
71722	Cic
547154	Gm14501
69386	Hist1h4h
102641229	Hist1h4h
100859931	Gm20604
387586	Ssxb5
226304	Npbwr1
22759	Zfp97
16160	Il12b
328059	Slc7a15
171278	Vmn1r197
217682	Plekhd1
94227	Pi15
93873	Pcdhb2
94191	Adarb2
67084	Ceacam14
67474	Snap29
22526	Gm4836
50760	Fbxo17
100312476	Vmn1r238
72129	Pex13
234344	Naf1
257996	Olfr884
210940	4931408C20Rik
66931	1700010I14Rik
20451	St8sia3
100038417	Spink13
73754	Thap1
449000	Zfp960
384695	Vmn1r123
217837	Itpk1
12939	Pcdha7
68318	Aph1c
100040563	Dynlt1c
434113	Vmn2r44
81017	Vmn1r63
100039499	Vmn1r63
66070	Cwc15
71999	Fbxo22
66381	Rnf113a2
75352	4930550L24Rik
19335	Rab23
15511	Hspa1b
69129	Pex11g
17870	Mycs
93872	Pcdhb1
239857	Cadm2
244431	Sgcz
110187	Scgb2b26
54651	Usp27x
268890	Lsamp
170776	Cd209c
241035	Pkhd1
13434	Trdmt1
93879	Pcdhb8
210135	Zfp180
102643195	Zfp180
100043051	Vmn1r149
74335	Xrcc3
16769	Dsg4
100043868	Scgb1b30
108072	Grm6
59058	Bhlhe22
30959	Ddx25
210962	Gm597
246081	Defb11
18010	Neu1
109672	Cyb5a
70009	Gm20806
100039574	Gm20806
100040429	Gm20806
100042268	Gm20806
100042475	Gm20806
100042669	Gm20806
100861821	Gm20806
100861825	Gm20806
100862342	Gm20806
101056091	Gm20806
101056099	Gm20806
101056121	Gm20806
102632326	Gm20806
102640729	Gm20806
628946	Vmn1r77
59044	Rnf130
67455	Klhl13
68028	Rpl22l1
93874	Pcdhb3
171254	Vmn1r198
624681	Btnl6
224105	Pak2
72747	Ttc39c
668976	Ssxb6
14734	Gpc3
76938	Rbm17
73261	1700037C18Rik
83885	Slc25a2
240263	Fem1c
99696	Ankrd50
73244	Prl8a1
12018	Bak1
80732	Mynn
75497	Fabp12
70192	Cd209g
75801	4930447C04Rik
57249	Gabrq
56525	Zfp235
76478	Haus8
67048	Vma21
14654	Glra1
20997	T
80837	Rhoj
110895	Slc9a4
13731	Emp2
328092	Dtd2
75668	Rasl10a
100038947	Sirpb1c
14634	Gli3
70062	Ctag2
171247	Vmn1r199
100042810	Vmn2r45
381337	Fam178b
14762	Gpr33
98682	Mfsd6
171241	Vmn1r75
93715	Pcdhga7
194744	Slc25a43
208171	Tmprss7
71597	Isx
236663	Gm4906
66868	Mfsd1
257882	Olfr1344
26466	Zfp260
110385	Pde4c
12590	Cdx1
77037	Mrap
74018	Als2
100040196	Gm20830
102641317	Gm20830
224630	Bnip1
216618	Cfap36
18983	Cnot7
100042450	Smim17
67542	Cog6
18997	Pou4f2
171225	Vmn1r226
237761	Sowaha
171253	Vmn1r215
244701	Mtnr1b
