EntrezGene ID	Affy MoGene 1_0 probeset
17716	10598027
17716	10598034
17716	10598032
17716	10598029
17717	10598034
17717	10598032
17708	10598036
17708	10353630
17708	10598038
17708	10598041
17709	10598043
17709	10353630
17709	10353626
17709	10598038
17709	10598041
17706	10598043
17706	10353626
17706	10598041
17705	10598053
17705	10598055
17705	10598043
17705	10353626
17705	10598049
17705	10598041
17710	10598059
17710	10353624
17710	10598053
17710	10598055
17710	10598057
17710	10598049
17718	10598059
17718	10353624
17718	10598053
17718	10598055
17718	10598057
17718	10598049
17720	10598059
17720	10353624
17720	10598057
17719	10598059
17719	10353624
17719	10598062
17719	10598067
17719	10598064
17721	10598062
17721	10598067
17721	10598069
17721	10598064
17722	10598089
17722	10598087
17711	10598069
17711	10598071
81016	10549797
30942	10490755
30942	10490755
78926	10383932
78926	10383932
78926	10383932
78926	
78926	
78926	10383932
78926	
73090	10550015
15160	10433988
15160	10433988
93882	10455088
24068	10458349
24068	10458349
24068	10458349
24068	10458349
24068	
24068	10458355
225372	10458349
225372	10458349
225372	10458349
225372	10458349
225372	
225372	10458355
71910	
71910	10571036
71910	10571036
71910	10571036
71910	10571036
71910	10571036
71910	10571036
71910	10571036
71910	10571036
100043614	10560785
100043614	10550782
100043614	10550765
100043614	10560797
100043614	10560783
100043614	10560752
100043614	10560780
100043614	10550770
100043614	10550778
100043614	10560740
100043614	10560728
100043614	10560754
100043614	10550786
100043614	10560730
100043614	10560732
100043614	10560789
100043614	10560742
100043614	10550760
100043614	10550768
100043614	10560787
100043614	10560767
100043614	10560744
13419	10433241
13419	10433241
13419	10433241
13419	10433241
13419	10433241
13419	10433241
13419	10433241
13419	10433241
13419	10433241
13419	10433241
13419	
100862025	
102635480	
268395	10375038
268395	10375038
268395	
268395	10375038
547431	10444312
547431	10444312
227058	
227058	10346109
227058	10354576
227058	10354563
227058	10346107
227058	
227058	
227058	10346109
71909	10352356
71909	10562084
71909	10352356
71909	10562084
71909	
71909	
71909	10352356
71909	10562084
71909	
244484	10578709
244484	10578709
244484	10578709
244484	
244484	10578709
244484	
244484	
244484	
244484	
244484	
244484	
244484	
244484	
236785	10604470
68977	10449018
68977	10449018
68977	10449018
68977	10449018
68977	10449018
68977	10449018
68977	10449018
68977	10449018
68977	10449018
68977	10449018
68977	10449018
29861	10551741
29861	10551741
29861	10551741
29861	10551741
29861	10551741
29861	10551741
29861	
29861	
29861	10551741
29861	10551741
104362	10479761
104362	10479761
104362	10479761
104362	10479761
104362	10479761
104362	10479761
171257	10403986
100039467	10603964
100039467	10603914
100039467	10603986
100039467	10599064
100039467	10604023
100039467	10603975
100039467	10603926
100039467	10603936
100039467	10603997
100039467	10599107
100039467	10603953
100039467	10599096
100039467	10599075
100039467	10604008
100039467	10603964
100039467	10603914
100039467	10603986
100039467	10599064
100039467	10604023
100039467	10603975
100039467	10603926
100039467	10603936
100039467	10603997
100039467	10599107
100039467	10603953
100039467	10599096
100039467	10599075
100039467	10604008
71722	10341934
71722	10340238
71722	10343289
71722	10343471
71722	10344049
71722	10338619
71722	10342432
71722	10340097
71722	10339207
71722	10340384
71722	10343035
71722	10342754
71722	10339760
71722	10342447
71722	10340653
71722	10343704
71722	10339518
71722	10339475
71722	10343605
71722	10338249
71722	10340710
71722	10340790
71722	10551080
71722	10339667
71722	10340194
71722	10339129
71722	10339565
71722	10339037
71722	10338272
71722	10338228
71722	10341828
71722	10340241
71722	10340630
71722	10341420
71722	10339786
71722	10339862
71722	
71722	10344049
71722	10340097
71722	10339207
71722	10343704
71722	10339518
71722	10340710
71722	10339667
71722	10344049
71722	10340097
71722	10339207
71722	10343704
71722	10339518
71722	10340710
71722	10339667
71722	10341934
71722	10340238
71722	10343289
71722	10343471
71722	10344049
71722	10338619
71722	10342432
71722	10340097
71722	10339207
71722	10340384
71722	10343035
71722	10342754
