EntrezGene ID	Ensembl Gene ID
26193	ENSRNOG00000030644
26194	ENSRNOG00000031033
26195	ENSRNOG00000034234
26198	ENSRNOG00000030371
26196	ENSRNOG00000033299
26197	ENSRNOG00000031979
26204	ENSRNOG00000030700
26199	ENSRNOG00000033615
26200	ENSRNOG00000031053
26201	ENSRNOG00000029707
26202	ENSRNOG00000029971
26203	ENSRNOG00000029042
26192	ENSRNOG00000031766
288801	ENSRNOG00000049555
298724	ENSRNOG00000049555
25491	ENSRNOG00000018681
114203	ENSRNOG00000001425
290527	ENSRNOG00000010984
114861	ENSRNOG00000002358
298947	ENSRNOG00000009385
100302373	ENSRNOG00000037146
314756	ENSRNOG00000008507
298961	ENSRNOG00000005023
691051	ENSRNOG00000027328
103690123	ENSRNOG00000005968
298012	ENSRNOG00000016137
364798	ENSRNOG00000054681
294394	ENSRNOG00000000401
311167	ENSRNOG00000007516
81663	ENSRNOG00000001235
302685	ENSRNOG00000045864
680252	ENSRNOG00000014984
362119	ENSRNOG00000018899
29170	ENSRNOG00000053181
361987	ENSRNOG00000022373
64369	ENSRNOG00000009980
25303	ENSRNOG00000046727
292535	ENSRNOG00000061893
315222	ENSRNOG00000012953
170583	ENSRNOG00000052205
300836	ENSRNOG00000058522
297698	ENSRNOG00000005787
690728	ENSRNOG00000001808
259245	ENSRNOG00000050595
298107	ENSRNOG00000050595
298111	ENSRNOG00000050595
24884	ENSRNOG00000037227
116455	ENSRNOG00000052704
689779	ENSRNOG00000052704
103691995	ENSRNOG00000059891
494343	ENSRNOG00000007740
293361	ENSRNOG00000050279
100909792	ENSRNOG00000050466
362368	ENSRNOG00000034084
289235	ENSRNOG00000008045
294518	ENSRNOG00000000302
64119	ENSRNOG00000016110
103692172	ENSRNOG00000057972
103691034	ENSRNOG00000014791
103694380	ENSRNOG00000000837
405146	ENSRNOG00000049850
498497	ENSRNOG00000025473
25165	ENSRNOG00000004268
364723	ENSRNOG00000048215
679983	ENSRNOG00000048215
680097	ENSRNOG00000048215
100360950	ENSRNOG00000048215
102548682	ENSRNOG00000048215
102551184	ENSRNOG00000048215
102557184	ENSRNOG00000048215
29156	ENSRNOG00000045747
100911363	ENSRNOG00000045747
314959	ENSRNOG00000059240
25269	ENSRNOG00000006471
494239	ENSRNOG00000047591
29462	ENSRNOG00000049261
100909648	ENSRNOG00000049261
81667	ENSRNOG00000001409
316062	ENSRNOG00000056476
292831	ENSRNOG00000027646
302703	ENSRNOG00000024479
691485	ENSRNOG00000013097
113922	ENSRNOG00000055257
315741	ENSRNOG00000014164
103690821	ENSRNOG00000048073
103694404	ENSRNOG00000048073
690906	ENSRNOG00000058087
502163	ENSRNOG00000030956
499125	ENSRNOG00000037541
366990	ENSRNOG00000008242
191568	ENSRNOG00000033693
294691	ENSRNOG00000033693
366545	ENSRNOG00000015566
500060	ENSRNOG00000039383
296278	ENSRNOG00000008845
100910231	ENSRNOG00000053115
102547241	ENSRNOG00000053115
289728	ENSRNOG00000038150
300126	ENSRNOG00000016148
293832	ENSRNOG00000052773
103690371	ENSRNOG00000052773
25257	ENSRNOG00000024577
298594	ENSRNOG00000006327
499940	ENSRNOG00000026215
311642	ENSRNOG00000006052
500825	ENSRNOG00000004875
303592	ENSRNOG00000006285
116666	ENSRNOG00000024470
171433	ENSRNOG00000011168
304990	ENSRNOG00000022329
25358	ENSRNOG00000004303
