EntrezGene ID	Associated Gene Name
26193	Mt-nd1
26194	Mt-nd2
26195	Mt-co1
26198	Mt-co2
26196	Mt-atp8
26197	Mt-atp6
26204	Mt-cox3
26199	Mt-nd3
26200	Mt-nd4l
26201	Mt-nd4
26202	Mt-nd5
26203	Mt-nd6
26192	Mt-cytb
288801	Olr917
298724	Olr917
25491	Nes
114203	Sh2b2
290527	Anxa11
114861	Scpep1
298947	Pik3cg
100302373	Ctxn2
314756	Cradd
298961	Agr2
691051	Pramel1
103690123	Hoxa2
298012	Rad23b
364798	Potec
294394	Gprc6a
311167	Smtnl1
81663	Gna12
302685	RGD1560203
680252	Dmwd
362119	Hc
29170	Aqp6
361987	Dennd4b
64369	Ppap2a
25303	Abcc2
292535	Leng1
315222	Arsa
170583	Fgf23
300836	Fam214a
297698	Erp27
690728	Asun
259245	LOC100912565
298107	LOC100912565
298111	LOC100912565
24884	Yes1
116455	Tctn2
689779	Tctn2
103691995	Mrgbp
494343	Tacstd2
293361	Olr214
100909792	LOC100909792
362368	Ggct
289235	Slamf9
294518	Sesn1
64119	Kcnk12
103692172	NEWGENE_1562258
103691034	Peg3
103694380	Tnf
405146	Olr844
498497	Tppp2
25165	Zfp386
364723	Hist1h4b
679983	Hist1h4b
680097	Hist1h4b
100360950	Hist1h4b
102548682	Hist1h4b
102551184	Hist1h4b
102557184	Hist1h4b
29156	LOC100911363
100911363	LOC100911363
314959	RGD1359449
25269	Pvalb
494239	Vom1r70
29462	Avpr1b
100909648	Avpr1b
81667	Gnb2
316062	Slc22a13
292831	Pop4
302703	Klhl34
691485	LOC691485
113922	Sep15
315741	Paqr5
103690821	LOC103694169
103694404	LOC103694169
690906	Lilrc2
502163	RGD1561114
499125	LOC100912030
366990	RGD1305207
191568	Naip6
294691	Naip6
366545	Atp6v1e2
500060	Fam71f2
296278	Pdrg1
100910231	Zfp82
102547241	Zfp82
289728	RGD1560394
300126	Gtse1
293832	LOC103690371
103690371	LOC103690371
25257	Gamt
298594	Rcc2
499940	Tp53tg5
311642	Sulf2
500825	Ccer1
303592	Tlk2
116666	Lman1
171433	Micu2
304990	Olr1595
25358	Timp3
304530	Taok3
54296	Rgs7
405970	Olr1138
691275	Adad2
311655	Mocs3
498075	Trat1
29631	Bet1
313481	Zcchc11
100359562	Mroh6
298805	Slc4a1ap
365791	LOC365791
684111	E2f2
305076	Diexf
24247	Casr
116489	Kcnk4
360602	Luc7l3
362464	Arntl2
140808	Manea
305420	Anapc4
89807	Angpt1
117262	Psmc4
289754	Xbp1
405077	Olr1316
364723	Hist1h4a
679983	Hist1h4a
680097	Hist1h4a
100360950	Hist1h4a
102548682	Hist1h4a
102551184	Hist1h4a
102557184	Hist1h4a
291324	Trdmt1
302898	Rsl1d1
29316	Adora2b
309692	Pcnt
300741	Mpi
117027	Ccr3
64304	Acads
81680	Lifr
305317	Guf1
295106	Ift80
299269	Ifi27l2b
363855	Map2k7
293188	Olr48
361219	Fbxw17
499762	LOC100911917
685692	Gcsam
287927	Ube2v2
