EntrezGene ID	Agilent SurePrint G3 GE 8x60k probe
4535	A_24_P182122
4535	A_23_P431853
4536	A_23_P431853
4512	A_23_P402751
4512	A_23_P301925
4513	A_23_P402751
4513	A_23_P337726
4513	A_33_P3410700
4509	A_24_P350200
4509	A_23_P337726
4509	A_33_P3410700
4508	A_24_P350200
4508	A_23_P337726
4508	A_33_P3410700
4514	A_33_P3336696
4514	A_24_P350200
4514	A_23_P360209
4537	A_33_P3336696
4537	A_23_P360209
4539	A_33_P3336696
4539	A_23_P315252
4538	A_23_P315252
4540	A_23_P406928
4541	A_23_P317056
4519	
4158	A_23_P38649
117159	A_23_P76218
3112	
7466	A_23_P121499
7466	
653643	A_23_P106371
653643	A_33_P3259440
51646	A_23_P108835
51646	A_33_P3281408
51646	
55845	A_19_P00802936
55845	A_23_P420361
9074	A_23_P37942
9074	
8988	A_23_P92730
9073	A_23_P427014
390162	A_33_P3343526
723809	A_33_P3692756
723809	
874	A_23_P40453
23440	A_23_P84230
23440	
197350	
100874047	
100505625	
83658	A_24_P143440
1050	A_24_P224727
101927007	
64208	A_23_P358597
40	A_32_P159612
40	A_33_P3368203
40	
337972	A_33_P3340666
84281	
84281	A_23_P17130
7189	A_23_P75921
245938	A_23_P320846
10489	
10489	A_33_P3289222
56975	A_23_P250122
56975	A_33_P3390823
56975	A_33_P3346635
56975	
51200	A_23_P19754
51200	
23191	
222255	A_32_P179740
222255	
222255	A_33_P3331095
222255	A_23_P356109
84674	A_23_P41854
84674	A_33_P3340847
90019	A_33_P3364389
90019	A_23_P36187
10598	A_23_P117599
10598	
83861	A_23_P59397
83861	
100130417	A_19_P00320067
100130417	A_33_P3330114
100130417	A_19_P00809697
100130417	A_19_P00812135
100130417	A_33_P3285334
388536	A_33_P3423401
388536	
94104	
643866	A_33_P3412900
643866	
3809	
285231	A_33_P3268686
285231	A_33_P3382606
100507564	
643707	A_33_P3395916
643707	A_32_P231086
643707	A_23_P358195
643707	A_33_P3239101
643707	A_33_P3243878
643707	A_33_P3307068
643707	
10816	A_33_P3239620
5281	A_23_P131653
5281	
27152	
27152	A_32_P118372
27152	A_33_P3273599
102723996	A_23_P317667
51398	
2252	A_32_P196021
2252	A_33_P3257027
2252	
285761	
285761	A_33_P3257330
81623	
7428	A_33_P3419938
7428	
4099	
4099	A_33_P3272823
79823	A_33_P3241657
79823	A_23_P153941
79823	
105373876	
158219	A_23_P390097
158219	
124923	A_33_P3338449
124923	A_23_P415633
124923	
22835	
22835	A_33_P3362861
653641	A_23_P106371
653641	A_33_P3259440
152687	A_23_P155939
152687	
729597	A_24_P161261
729597	A_33_P3249524
729597	A_24_P178396
64412	A_24_P156288
64412	A_23_P433188
64412	A_33_P3287078
64412	
6015	
713	A_23_P137366
3133	
135941	A_23_P59783
135941	
22856	A_23_P37484
22856	
140850	A_23_P385843
54495	A_33_P3252141
54495	
100507173	
100288428	
100288428	A_19_P00808088
100288428	A_33_P3650491
101927394	
101927394	A_19_P00808088
101927394	A_33_P3650491
56245	
344595	A_19_P00315753
344595	A_19_P00319709
344595	A_19_P00318370
344595	A_33_P3249837
344595	A_19_P00315773
3577	A_23_P67932
58530	A_33_P3275722
83890	
83890	A_33_P3366156
83890	A_33_P3299000
400684	A_33_P3640101
51209	A_23_P406448
51209	A_24_P126139
80010	
80010	A_23_P112341
101927132	
114791	
100506428	
79645	
79645	A_23_P146294
79645	A_33_P3214988
79645	A_19_P00322059
153643	A_23_P360354
153643	
55168	A_23_P122387
100507534	
5652	A_33_P3329088
5652	
4588	
56902	A_24_P336853
56902	
6749	A_23_P36076
6749	
9678	A_23_P134384
9678	A_24_P21056
9678	
168850	
168850	A_33_P3380932
136332	
92304	A_33_P3210379
83755	A_23_P15798
83755	A_33_P3256257
64788	A_33_P3883985
64788	
105274304	
23001	A_32_P10396
23001	
23001	A_24_P83379
3812	
154442	A_33_P3318564
154442	A_24_P701030
10980	A_23_P8432
10980	
80184	A_23_P36865
80184	
491	A_33_P3400973
491	A_23_P18152
491	A_33_P3393851
491	
81871	A_23_P417100
101928891	
100507629	
4116	A_23_P200216
4116	
10112	
1399	A_24_P935009
1399	
26228	A_33_P3365760
22880	
27293	
27293	A_23_P160881
643803	A_33_P3635527
85289	A_23_P27197
85289	A_33_P3256257
100130148	
100507246	
100507246	A_33_P3305472
241	A_24_P347378
241	
27145	A_19_P00812246
27145	A_33_P3276435
27145	A_23_P436369
8705	
101929602	
93035	
6358	
100874097	
158798	
158798	A_33_P3278590
100128505	A_33_P3373418
81392	A_33_P3423335
154822	A_33_P3281018
154822	
154822	A_33_P3369829
84233	A_23_P13524
7100	A_23_P85903
7100	A_33_P3263423
7100	
3115	
1635	A_24_P337334
1635	
51233	A_24_P91701
79669	
79669	A_23_P58009
340526	A_33_P3305173
22883	A_24_P191067
22883	
101927120	
275	A_24_P174503
275	A_23_P257164
275	
101929066	
8170	A_23_P27353
8170	A_33_P3293187
390144	A_33_P3282241
114905	
114905	A_32_P190769
245927	A_33_P3267627
55773	
55773	A_23_P212728
5020	A_24_P382579
100129543	
122011	A_24_P338788
55344	A_23_P61180
55344	A_33_P3407937
55344	
200634	
4125	
100874253	
29890	A_24_P945181
84255	
84255	A_23_P95130
84255	A_33_P3259293
55585	A_23_P97423
55585	
5903	A_33_P3308740
5903	A_33_P3272390
5903	
6348	
503639	
101928820	
4609	A_33_P3245163
4609	
4609	A_23_P215956
22928	A_23_P146798
101929210	
100131608	
102465255	
90332	
90332	A_33_P3271126
169714	A_32_P206401
169714	
100616430	
100500873	
2936	A_32_P31618
2936	A_23_P146084
2936	
574473	
83690	A_33_P3260377
83690	
197322	
197322	A_32_P218332
9895	A_32_P355396
9895	A_33_P3305958
9895	
7710	A_24_P76300
7710	A_33_P3360456
7710	A_33_P3233754
5104	
5104	A_24_P321766
57657	A_23_P34827
57657	
102465495	
100847049	
64285	A_23_P163682
64285	
406938	
441294	A_23_P402952
441294	A_33_P3251283
100616189	
100033799	
100124536	
100616176	
102465667	
79165	
100113379	
677838	
100130017	A_33_P3261710
100130017	
1143	A_23_P332789
1143	
100616304	
102465537	
93233	A_33_P3246528
93233	A_33_P3261054
93233	
100302172	
100302237	
8930	A_23_P92154
8930	
2770	
2770	A_23_P122976
442894	
407008	
2766	A_24_P277657
100847030	
101929413	
100313772	
101929460	
1258	A_23_P37718
1258	A_33_P3295738
1258	
407000	
102464834	
406945	
103504727	
102465881	
100302191	
9122	A_33_P3227920
9122	
2119	A_32_P30649
2119	
407043	
154214	A_23_P353005
154214	
677833	
102466866	
100422905	
100302201	
56126	A_23_P7397
10471	
10471	A_33_P3264444
767594	
102466197	
100873998	A_33_P3311663
102465908	
102466812	
100124534	
100422879	
692210	
100033436	
6085	
100847026	
102465476	
100422888	
100302193	
100616125	
768216	
406993	
653282	A_24_P332857
100616490	
102465500	
100422971	
100847084	
84823	
84823	A_33_P3413845
84823	A_23_P67725
100873857	
767606	
693172	
100422998	
100423034	
102465501	
103504729	
100847007	
112724	
79143	
26801	
100616236	
100847093	
