EntrezGene ID	Affy HG U133-PLUS-2 probeset
4535	1553551_s_at
4536	1553551_s_at
4512	1553569_at
4512	1553538_s_at
4512	1553570_x_at
4513	1553569_at
4513	1553567_s_at
4513	1553570_x_at
4509	1553567_s_at
4508	1553567_s_at
4514	1553588_at
4537	1553588_at
4539	1553588_at
4539	224373_s_at
4538	224373_s_at
4538	224372_at
4540	211600_at
4540	1555653_at
4541	1553575_at
4519	
4158	208568_at
4158	217434_at
117159	1553946_at
3112	
7466	202908_at
7466	1555270_a_at
7466	
653643	232813_s_at
653643	207575_at
51646	217783_s_at
51646	222408_s_at
51646	
55845	224575_at
9074	208474_at
9074	237810_at
8988	206375_s_at
9073	214598_at
390162	
723809	239656_at
723809	
874	205379_at
23440	223835_x_at
23440	231488_at
197350	
197350	234231_at
100874047	
100505625	
83658	217918_at
83658	217917_s_at
83658	1554568_at
1050	204039_at
101927007	1556494_at
64208	219926_at
40	206690_at
40	
337972	
84281	
84281	223754_at
84281	228195_at
7189	205558_at
245938	1552998_at
10489	1555831_s_at
10489	201932_at
10489	215765_at
10489	1558983_at
56975	226722_at
56975	
56975	234466_at
51200	
23191	
222255	227732_at
222255	214343_s_at
222255	
222255	232265_at
84674	224414_s_at
84674	
90019	
90019	232802_at
10598	201491_at
10598	
83861	229810_at
83861	223713_at
83861	235889_at
83861	
100130417	1555980_a_at
100130417	1555979_at
388536	
94104	
643866	235221_at
643866	
3809	
285231	
285231	1564138_at
100507564	1556048_at
643707	213212_x_at
643707	
10816	215503_at
5281	205078_at
5281	205077_s_at
5281	
27152	
27152	228946_at
102723996	211199_s_at
102723996	211198_s_at
102723996	213450_s_at
102723996	211197_s_at
51398	217780_at
51398	
2252	1554741_s_at
2252	205782_at
2252	1555103_s_at
2252	1555102_at
2252	
285761	
285761	1553768_a_at
285761	226609_at
81623	233166_at
81623	221414_s_at
7428	1559227_s_at
7428	203844_at
7428	
4099	
4099	216617_s_at
79823	
79823	1554875_at
79823	219617_at
105373876	1560634_a_at
158219	232000_at
158219	242477_at
158219	236826_at
158219	
124923	244547_at
124923	1553292_s_at
124923	
22835	
22835	207090_x_at
653641	232813_s_at
653641	207575_at
152687	
729597	
64412	234055_s_at
64412	225884_s_at
64412	
6015	
713	202953_at
3133	
135941	
22856	203044_at
22856	
140850	233343_at
54495	225302_at
54495	
54495	1552822_at
100507173	
100507173	1568826_at
100288428	
101927394	
56245	
344595	235606_at
344595	239466_at
344595	
3577	207094_at
58530	207457_s_at
83890	223840_s_at
83890	223841_s_at
400684	232965_at
51209	222918_at
80010	
80010	218979_at
101927132	
114791	
100506428	1559501_at
100506428	
100506428	1559917_a_at
79645	1568930_at
79645	
79645	220156_at
79645	239500_at
153643	240065_at
153643	
55168	218385_at
55168	221693_s_at
100507534	1561055_at
5652	202525_at
5652	
4588	
56902	211697_x_at
56902	203622_s_at
56902	242627_at
56902	242905_at
56902	
6749	200956_s_at
6749	200957_s_at
6749	
9678	204525_at
9678	
9678	228095_at
168850	
168850	227104_x_at
168850	227101_at
136332	244710_at
136332	
92304	230378_at
83755	224269_at
64788	
64788	1569871_at
64788	227984_at
64788	1558463_s_at
64788	1569872_a_at
105274304	240032_at
23001	212602_at
23001	212598_at
23001	212606_at
23001	
23001	238660_at
3812	
154442	232492_at
154442	
10980	201405_s_at
10980	213504_at
10980	
80184	205250_s_at
80184	221683_s_at
80184	
491	204685_s_at
491	216120_s_at
491	239357_at
491	211586_s_at
491	234714_x_at
491	
81871	234683_at
101928891	
100507629	
100507629	231458_at
4116	210092_at
4116	210093_s_at
10112	
10112	218755_at
1399	212180_at
1399	206184_at
26228	220059_at
26228	1554343_a_at
22880	216863_s_at
22880	203956_at
22880	228449_at
22880	
27293	205309_at
27293	1554050_at
27293	
643803	
85289	234637_at
100130148	
100507246	
100507246	224601_at
100507246	224603_at
241	204174_at
241	
27145	1570515_a_at
27145	1556325_at
27145	235183_at
27145	231945_at
8705	210205_at
8705	216065_at
101929602	
93035	230673_at
93035	
6358	
100874097	
158798	237281_at
158798	237282_s_at
158798	242698_at
100128505	
81392	
154822	
154822	1570376_at
154822	1559712_at
84233	223334_at
84233	
7100	210166_at
7100	
3115	
1635	201571_s_at
1635	210137_s_at
1635	201572_x_at
1635	
51233	237325_at
51233	
79669	
79669	219474_at
79669	1559021_at
340526	227823_at
22883	201561_s_at
22883	
101927120	
275	204294_at
275	
101929066	
8170	208409_at
8170	
390144	
114905	223877_at
114905	239349_at
114905	
245927	
55773	
55773	225121_at
5020	207576_x_at
100129543	
122011	
55344	222795_s_at
55344	218951_s_at
55344	
200634	235148_at
4125	209166_s_at
4125	
100874253	237224_at
29890	226987_at
29890	202689_at
84255	
84255	223304_at
55585	222480_at
55585	231816_s_at
55585	217978_s_at
55585	
5903	201713_s_at
5903	201711_x_at
5903	226922_at
5903	201712_s_at
5903	
6348	
503639	
503639	242546_at
503639	242881_x_at
101928820	234219_at
4609	
4609	202431_s_at
22928	200961_at
101929210	1570268_at
100131608	
102465255	
90332	1552889_a_at
169714	235239_at
169714	227146_at
169714	
100616430	
100500873	
2936	205770_at
2936	225609_at
2936	
574473	
83690	223475_at
83690	
197322	
197322	227464_at
197322	1556552_a_at
197322	235823_at
9895	204308_s_at
9895	204307_at
9895	
7710	217242_at
5104	
5104	209443_at
57657	228741_s_at
57657	
102465495	
100847049	
64285	218686_s_at
64285	222711_s_at
64285	
406938	
441294	214355_x_at
100616189	
100033799	
100124536	
100616176	
102465667	
79165	
100113379	
677838	228990_at
100130017	
1143	207516_at
1143	
100616304	
102465537	
93233	233157_x_at
93233	
100302172	
100302237	
8930	214047_s_at
8930	209579_s_at
8930	209580_s_at
8930	214048_at
2770	
2770	209576_at
2770	227692_at
442894	
407008	229934_at
2766	204187_at
100847030	
101929413	1562653_at
100313772	
101929460	1563078_at
1258	211099_s_at
1258	207342_at
1258	
1258	210769_at
407000	
102464834	
406945	
103504727	
102465881	
100302191	
9122	205234_at
9122	
